09:17:04 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_091704_860076_d01b.log
09:17:04 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_adaptive_high.yaml
09:17:04 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
09:17:04 [INFO   ] network.py:76 Creating scenario...
09:17:06 [INFO   ] network.py:79 Scenario created.
09:17:06 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
09:17:06 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=46830878 participants=32 steps=50
09:17:06 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
09:17:06 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
09:17:06 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
09:17:06 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
09:17:27 [INFO   ] runner.py:149 [sim_t=00000.145757s] Phase finished     step=0 phase=1 name=gradient_sync
09:17:27 [INFO   ] runner.py:138 [sim_t=00000.145757s] Phase starting     step=0 phase=2 name=optimizer_compute
09:17:27 [INFO   ] runner.py:149 [sim_t=00000.150757s] Phase finished     step=0 phase=2 name=optimizer_compute
09:17:27 [INFO   ] runner.py:133 [sim_t=00000.150757s] Step finished      step=0
09:17:27 [INFO   ] runner.py:120 [sim_t=00000.150757s] Step starting      step=1
09:17:27 [INFO   ] runner.py:138 [sim_t=00000.150757s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
09:17:27 [INFO   ] runner.py:149 [sim_t=00000.160757s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
09:17:27 [INFO   ] runner.py:138 [sim_t=00000.160757s] Phase starting     step=1 phase=1 name=gradient_sync
09:17:48 [INFO   ] runner.py:149 [sim_t=00000.296645s] Phase finished     step=1 phase=1 name=gradient_sync
09:17:48 [INFO   ] runner.py:138 [sim_t=00000.296645s] Phase starting     step=1 phase=2 name=optimizer_compute
09:17:48 [INFO   ] runner.py:149 [sim_t=00000.301645s] Phase finished     step=1 phase=2 name=optimizer_compute
09:17:48 [INFO   ] runner.py:133 [sim_t=00000.301645s] Step finished      step=1
09:17:48 [INFO   ] runner.py:120 [sim_t=00000.301645s] Step starting      step=2
09:17:48 [INFO   ] runner.py:138 [sim_t=00000.301645s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
09:17:48 [INFO   ] runner.py:149 [sim_t=00000.311645s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
09:17:48 [INFO   ] runner.py:138 [sim_t=00000.311645s] Phase starting     step=2 phase=1 name=gradient_sync
09:18:09 [INFO   ] runner.py:149 [sim_t=00000.448516s] Phase finished     step=2 phase=1 name=gradient_sync
09:18:09 [INFO   ] runner.py:138 [sim_t=00000.448516s] Phase starting     step=2 phase=2 name=optimizer_compute
09:18:09 [INFO   ] runner.py:149 [sim_t=00000.453516s] Phase finished     step=2 phase=2 name=optimizer_compute
09:18:09 [INFO   ] runner.py:133 [sim_t=00000.453516s] Step finished      step=2
09:18:09 [INFO   ] runner.py:120 [sim_t=00000.453516s] Step starting      step=3
09:18:09 [INFO   ] runner.py:138 [sim_t=00000.453516s] Phase starting     step=3 phase=0 name=fwd_bwd_compute
09:18:09 [INFO   ] runner.py:149 [sim_t=00000.463516s] Phase finished     step=3 phase=0 name=fwd_bwd_compute
09:18:09 [INFO   ] runner.py:138 [sim_t=00000.463516s] Phase starting     step=3 phase=1 name=gradient_sync
09:18:31 [INFO   ] runner.py:149 [sim_t=00000.599732s] Phase finished     step=3 phase=1 name=gradient_sync
09:18:31 [INFO   ] runner.py:138 [sim_t=00000.599732s] Phase starting     step=3 phase=2 name=optimizer_compute
09:18:31 [INFO   ] runner.py:149 [sim_t=00000.604732s] Phase finished     step=3 phase=2 name=optimizer_compute
09:18:31 [INFO   ] runner.py:133 [sim_t=00000.604732s] Step finished      step=3
09:18:31 [INFO   ] runner.py:120 [sim_t=00000.604732s] Step starting      step=4
