09:37:55 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_093755_903901_d326.log
09:37:55 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_adaptive_high_failures.yaml
09:37:55 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
09:37:55 [INFO   ] network.py:63 Link failure summary: 30 links marked as failed
09:37:55 [INFO   ] network.py:76 Creating scenario...
09:37:57 [INFO   ] network.py:79 Scenario created.
09:37:57 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
09:37:57 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=579573152 participants=32 steps=50
09:37:57 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
09:37:57 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
09:37:57 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
09:37:57 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
09:38:21 [INFO   ] runner.py:149 [sim_t=00000.187176s] Phase finished     step=0 phase=1 name=gradient_sync
09:38:21 [INFO   ] runner.py:138 [sim_t=00000.187176s] Phase starting     step=0 phase=2 name=optimizer_compute
09:38:21 [INFO   ] runner.py:149 [sim_t=00000.192176s] Phase finished     step=0 phase=2 name=optimizer_compute
09:38:21 [INFO   ] runner.py:133 [sim_t=00000.192176s] Step finished      step=0
09:38:21 [INFO   ] runner.py:120 [sim_t=00000.192176s] Step starting      step=1
09:38:21 [INFO   ] runner.py:138 [sim_t=00000.192176s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
09:38:21 [INFO   ] runner.py:149 [sim_t=00000.202176s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
