09:57:17 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_095717_711961_a1e4.log
09:57:17 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_adaptive_low.yaml
09:57:17 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
09:57:17 [INFO   ] network.py:76 Creating scenario...
09:57:19 [INFO   ] network.py:79 Scenario created.
09:57:19 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
09:57:19 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=355864357 participants=32 steps=50
09:57:19 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
09:57:19 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
09:57:19 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
09:57:19 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
09:57:22 [INFO   ] runner.py:149 [sim_t=00000.029824s] Phase finished     step=0 phase=1 name=gradient_sync
09:57:22 [INFO   ] runner.py:138 [sim_t=00000.029824s] Phase starting     step=0 phase=2 name=optimizer_compute
09:57:22 [INFO   ] runner.py:149 [sim_t=00000.034824s] Phase finished     step=0 phase=2 name=optimizer_compute
09:57:22 [INFO   ] runner.py:133 [sim_t=00000.034824s] Step finished      step=0
09:57:22 [INFO   ] runner.py:120 [sim_t=00000.034824s] Step starting      step=1
09:57:22 [INFO   ] runner.py:138 [sim_t=00000.034824s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
09:57:22 [INFO   ] runner.py:149 [sim_t=00000.044824s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
09:57:22 [INFO   ] runner.py:138 [sim_t=00000.044824s] Phase starting     step=1 phase=1 name=gradient_sync
09:57:25 [INFO   ] runner.py:149 [sim_t=00000.064713s] Phase finished     step=1 phase=1 name=gradient_sync
09:57:25 [INFO   ] runner.py:138 [sim_t=00000.064713s] Phase starting     step=1 phase=2 name=optimizer_compute
09:57:25 [INFO   ] runner.py:149 [sim_t=00000.069713s] Phase finished     step=1 phase=2 name=optimizer_compute
09:57:25 [INFO   ] runner.py:133 [sim_t=00000.069713s] Step finished      step=1
09:57:25 [INFO   ] runner.py:120 [sim_t=00000.069713s] Step starting      step=2
09:57:25 [INFO   ] runner.py:138 [sim_t=00000.069713s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
09:57:25 [INFO   ] runner.py:149 [sim_t=00000.079713s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
09:57:25 [INFO   ] runner.py:138 [sim_t=00000.079713s] Phase starting     step=2 phase=1 name=gradient_sync
09:57:28 [INFO   ] runner.py:149 [sim_t=00000.099668s] Phase finished     step=2 phase=1 name=gradient_sync
09:57:29 [INFO   ] runner.py:138 [sim_t=00000.099668s] Phase starting     step=2 phase=2 name=optimizer_compute
09:57:29 [INFO   ] runner.py:149 [sim_t=00000.104668s] Phase finished     step=2 phase=2 name=optimizer_compute
09:57:29 [INFO   ] runner.py:133 [sim_t=00000.104668s] Step finished      step=2
09:57:29 [INFO   ] runner.py:120 [sim_t=00000.104668s] Step starting      step=3
09:57:29 [INFO   ] runner.py:138 [sim_t=00000.104668s] Phase starting     step=3 phase=0 name=fwd_bwd_compute
09:57:29 [INFO   ] runner.py:149 [sim_t=00000.114668s] Phase finished     step=3 phase=0 name=fwd_bwd_compute
09:57:29 [INFO   ] runner.py:138 [sim_t=00000.114668s] Phase starting     step=3 phase=1 name=gradient_sync
09:57:32 [INFO   ] runner.py:149 [sim_t=00000.134558s] Phase finished     step=3 phase=1 name=gradient_sync
09:57:32 [INFO   ] runner.py:138 [sim_t=00000.134558s] Phase starting     step=3 phase=2 name=optimizer_compute
09:57:32 [INFO   ] runner.py:149 [sim_t=00000.139558s] Phase finished     step=3 phase=2 name=optimizer_compute
09:57:32 [INFO   ] runner.py:133 [sim_t=00000.139558s] Step finished      step=3
09:57:32 [INFO   ] runner.py:120 [sim_t=00000.139558s] Step starting      step=4
09:57:32 [INFO   ] runner.py:138 [sim_t=00000.139558s] Phase starting     step=4 phase=0 name=fwd_bwd_compute
09:57:32 [INFO   ] runner.py:149 [sim_t=00000.149558s] Phase finished     step=4 phase=0 name=fwd_bwd_compute
09:57:32 [INFO   ] runner.py:138 [sim_t=00000.149558s] Phase starting     step=4 phase=1 name=gradient_sync
