09:59:54 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_095954_010966_c4d0.log
09:59:54 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_adaptive_mid.yaml
09:59:54 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
09:59:54 [INFO   ] network.py:76 Creating scenario...
09:59:55 [INFO   ] network.py:79 Scenario created.
09:59:55 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
09:59:55 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=1190596436 participants=32 steps=50
09:59:55 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
09:59:55 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
09:59:55 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
09:59:55 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
10:00:01 [INFO   ] runner.py:149 [sim_t=00000.046667s] Phase finished     step=0 phase=1 name=gradient_sync
10:00:01 [INFO   ] runner.py:138 [sim_t=00000.046667s] Phase starting     step=0 phase=2 name=optimizer_compute
10:00:01 [INFO   ] runner.py:149 [sim_t=00000.051667s] Phase finished     step=0 phase=2 name=optimizer_compute
10:00:01 [INFO   ] runner.py:133 [sim_t=00000.051667s] Step finished      step=0
10:00:01 [INFO   ] runner.py:120 [sim_t=00000.051667s] Step starting      step=1
10:00:01 [INFO   ] runner.py:138 [sim_t=00000.051667s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
10:00:01 [INFO   ] runner.py:149 [sim_t=00000.061667s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
10:00:01 [INFO   ] runner.py:138 [sim_t=00000.061667s] Phase starting     step=1 phase=1 name=gradient_sync
10:00:07 [INFO   ] runner.py:149 [sim_t=00000.098202s] Phase finished     step=1 phase=1 name=gradient_sync
10:00:07 [INFO   ] runner.py:138 [sim_t=00000.098202s] Phase starting     step=1 phase=2 name=optimizer_compute
10:00:07 [INFO   ] runner.py:149 [sim_t=00000.103202s] Phase finished     step=1 phase=2 name=optimizer_compute
10:00:07 [INFO   ] runner.py:133 [sim_t=00000.103202s] Step finished      step=1
10:00:07 [INFO   ] runner.py:120 [sim_t=00000.103202s] Step starting      step=2
10:00:07 [INFO   ] runner.py:138 [sim_t=00000.103202s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
10:00:07 [INFO   ] runner.py:149 [sim_t=00000.113202s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
10:00:07 [INFO   ] runner.py:138 [sim_t=00000.113202s] Phase starting     step=2 phase=1 name=gradient_sync
10:00:13 [INFO   ] runner.py:149 [sim_t=00000.149934s] Phase finished     step=2 phase=1 name=gradient_sync
10:00:13 [INFO   ] runner.py:138 [sim_t=00000.149934s] Phase starting     step=2 phase=2 name=optimizer_compute
10:00:13 [INFO   ] runner.py:149 [sim_t=00000.154934s] Phase finished     step=2 phase=2 name=optimizer_compute
10:00:13 [INFO   ] runner.py:133 [sim_t=00000.154934s] Step finished      step=2
10:00:13 [INFO   ] runner.py:120 [sim_t=00000.154934s] Step starting      step=3
10:00:13 [INFO   ] runner.py:138 [sim_t=00000.154934s] Phase starting     step=3 phase=0 name=fwd_bwd_compute
10:00:13 [INFO   ] runner.py:149 [sim_t=00000.164934s] Phase finished     step=3 phase=0 name=fwd_bwd_compute
10:00:13 [INFO   ] runner.py:138 [sim_t=00000.164934s] Phase starting     step=3 phase=1 name=gradient_sync
10:00:19 [INFO   ] runner.py:149 [sim_t=00000.201535s] Phase finished     step=3 phase=1 name=gradient_sync
10:00:19 [INFO   ] runner.py:138 [sim_t=00000.201535s] Phase starting     step=3 phase=2 name=optimizer_compute
10:00:19 [INFO   ] runner.py:149 [sim_t=00000.206535s] Phase finished     step=3 phase=2 name=optimizer_compute
10:00:19 [INFO   ] runner.py:133 [sim_t=00000.206535s] Step finished      step=3
10:00:19 [INFO   ] runner.py:120 [sim_t=00000.206535s] Step starting      step=4
10:00:19 [INFO   ] runner.py:138 [sim_t=00000.206535s] Phase starting     step=4 phase=0 name=fwd_bwd_compute
10:00:19 [INFO   ] runner.py:149 [sim_t=00000.216535s] Phase finished     step=4 phase=0 name=fwd_bwd_compute
10:00:19 [INFO   ] runner.py:138 [sim_t=00000.216535s] Phase starting     step=4 phase=1 name=gradient_sync
10:00:25 [INFO   ] runner.py:149 [sim_t=00000.253268s] Phase finished     step=4 phase=1 name=gradient_sync
10:00:25 [INFO   ] runner.py:138 [sim_t=00000.253268s] Phase starting     step=4 phase=2 name=optimizer_compute
10:00:25 [INFO   ] runner.py:149 [sim_t=00000.258268s] Phase finished     step=4 phase=2 name=optimizer_compute
10:00:25 [INFO   ] runner.py:133 [sim_t=00000.258268s] Step finished      step=4
10:00:25 [INFO   ] runner.py:120 [sim_t=00000.258268s] Step starting      step=5
10:00:25 [INFO   ] runner.py:138 [sim_t=00000.258268s] Phase starting     step=5 phase=0 name=fwd_bwd_compute
10:00:25 [INFO   ] runner.py:149 [sim_t=00000.268268s] Phase finished     step=5 phase=0 name=fwd_bwd_compute
10:00:25 [INFO   ] runner.py:138 [sim_t=00000.268268s] Phase starting     step=5 phase=1 name=gradient_sync
10:00:31 [INFO   ] runner.py:149 [sim_t=00000.305065s] Phase finished     step=5 phase=1 name=gradient_sync
10:00:31 [INFO   ] runner.py:138 [sim_t=00000.305065s] Phase starting     step=5 phase=2 name=optimizer_compute
10:00:31 [INFO   ] runner.py:149 [sim_t=00000.310065s] Phase finished     step=5 phase=2 name=optimizer_compute
10:00:31 [INFO   ] runner.py:133 [sim_t=00000.310065s] Step finished      step=5
10:00:31 [INFO   ] runner.py:120 [sim_t=00000.310065s] Step starting      step=6
10:00:31 [INFO   ] runner.py:138 [sim_t=00000.310065s] Phase starting     step=6 phase=0 name=fwd_bwd_compute
10:00:31 [INFO   ] runner.py:149 [sim_t=00000.320065s] Phase finished     step=6 phase=0 name=fwd_bwd_compute
10:00:31 [INFO   ] runner.py:138 [sim_t=00000.320065s] Phase starting     step=6 phase=1 name=gradient_sync
10:00:37 [INFO   ] runner.py:149 [sim_t=00000.356797s] Phase finished     step=6 phase=1 name=gradient_sync
10:00:37 [INFO   ] runner.py:138 [sim_t=00000.356797s] Phase starting     step=6 phase=2 name=optimizer_compute
10:00:37 [INFO   ] runner.py:149 [sim_t=00000.361797s] Phase finished     step=6 phase=2 name=optimizer_compute
10:00:37 [INFO   ] runner.py:133 [sim_t=00000.361797s] Step finished      step=6
10:00:37 [INFO   ] runner.py:120 [sim_t=00000.361797s] Step starting      step=7
10:00:37 [INFO   ] runner.py:138 [sim_t=00000.361797s] Phase starting     step=7 phase=0 name=fwd_bwd_compute
10:00:37 [INFO   ] runner.py:149 [sim_t=00000.371797s] Phase finished     step=7 phase=0 name=fwd_bwd_compute
10:00:37 [INFO   ] runner.py:138 [sim_t=00000.371797s] Phase starting     step=7 phase=1 name=gradient_sync
10:00:43 [INFO   ] runner.py:149 [sim_t=00000.408792s] Phase finished     step=7 phase=1 name=gradient_sync
10:00:43 [INFO   ] runner.py:138 [sim_t=00000.408792s] Phase starting     step=7 phase=2 name=optimizer_compute
10:00:43 [INFO   ] runner.py:149 [sim_t=00000.413792s] Phase finished     step=7 phase=2 name=optimizer_compute
10:00:43 [INFO   ] runner.py:133 [sim_t=00000.413792s] Step finished      step=7
10:00:43 [INFO   ] runner.py:120 [sim_t=00000.413792s] Step starting      step=8
10:00:43 [INFO   ] runner.py:138 [sim_t=00000.413792s] Phase starting     step=8 phase=0 name=fwd_bwd_compute
10:00:43 [INFO   ] runner.py:149 [sim_t=00000.423792s] Phase finished     step=8 phase=0 name=fwd_bwd_compute
10:00:43 [INFO   ] runner.py:138 [sim_t=00000.423792s] Phase starting     step=8 phase=1 name=gradient_sync
10:00:49 [INFO   ] runner.py:149 [sim_t=00000.460655s] Phase finished     step=8 phase=1 name=gradient_sync
10:00:49 [INFO   ] runner.py:138 [sim_t=00000.460655s] Phase starting     step=8 phase=2 name=optimizer_compute
10:00:49 [INFO   ] runner.py:149 [sim_t=00000.465655s] Phase finished     step=8 phase=2 name=optimizer_compute
10:00:49 [INFO   ] runner.py:133 [sim_t=00000.465655s] Step finished      step=8
10:00:49 [INFO   ] runner.py:120 [sim_t=00000.465655s] Step starting      step=9
10:00:49 [INFO   ] runner.py:138 [sim_t=00000.465655s] Phase starting     step=9 phase=0 name=fwd_bwd_compute
10:00:49 [INFO   ] runner.py:149 [sim_t=00000.475655s] Phase finished     step=9 phase=0 name=fwd_bwd_compute
10:00:49 [INFO   ] runner.py:138 [sim_t=00000.475655s] Phase starting     step=9 phase=1 name=gradient_sync
