10:04:57 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_100457_261758_f92a.log
10:04:57 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_ecmp_high.yaml
10:04:57 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
10:04:57 [INFO   ] network.py:76 Creating scenario...
10:04:59 [INFO   ] network.py:79 Scenario created.
10:04:59 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
10:04:59 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=1531469390 participants=32 steps=50
10:04:59 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
10:04:59 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
10:04:59 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
10:04:59 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
10:05:20 [INFO   ] runner.py:149 [sim_t=00001.329730s] Phase finished     step=0 phase=1 name=gradient_sync
10:05:20 [INFO   ] runner.py:138 [sim_t=00001.329730s] Phase starting     step=0 phase=2 name=optimizer_compute
10:05:20 [INFO   ] runner.py:149 [sim_t=00001.334730s] Phase finished     step=0 phase=2 name=optimizer_compute
10:05:20 [INFO   ] runner.py:133 [sim_t=00001.334730s] Step finished      step=0
10:05:20 [INFO   ] runner.py:120 [sim_t=00001.334730s] Step starting      step=1
10:05:20 [INFO   ] runner.py:138 [sim_t=00001.334730s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
10:05:20 [INFO   ] runner.py:149 [sim_t=00001.344730s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
10:05:20 [INFO   ] runner.py:138 [sim_t=00001.344730s] Phase starting     step=1 phase=1 name=gradient_sync
10:05:41 [INFO   ] runner.py:149 [sim_t=00002.713154s] Phase finished     step=1 phase=1 name=gradient_sync
10:05:41 [INFO   ] runner.py:138 [sim_t=00002.713154s] Phase starting     step=1 phase=2 name=optimizer_compute
10:05:41 [INFO   ] runner.py:149 [sim_t=00002.718154s] Phase finished     step=1 phase=2 name=optimizer_compute
10:05:41 [INFO   ] runner.py:133 [sim_t=00002.718154s] Step finished      step=1
10:05:41 [INFO   ] runner.py:120 [sim_t=00002.718154s] Step starting      step=2
10:05:41 [INFO   ] runner.py:138 [sim_t=00002.718154s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
