10:22:22 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_102222_481626_1db0.log
10:22:22 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_ecmp_high_failures.yaml
10:22:22 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
10:22:22 [INFO   ] network.py:63 Link failure summary: 21 links marked as failed
10:22:22 [INFO   ] network.py:76 Creating scenario...
10:22:24 [INFO   ] network.py:79 Scenario created.
10:22:24 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
10:22:24 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=1932283277 participants=32 steps=50
10:22:24 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
10:22:24 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
10:22:24 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
10:22:24 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
10:22:45 [INFO   ] runner.py:149 [sim_t=00001.313281s] Phase finished     step=0 phase=1 name=gradient_sync
10:22:45 [INFO   ] runner.py:138 [sim_t=00001.313281s] Phase starting     step=0 phase=2 name=optimizer_compute
10:22:45 [INFO   ] runner.py:149 [sim_t=00001.318281s] Phase finished     step=0 phase=2 name=optimizer_compute
10:22:45 [INFO   ] runner.py:133 [sim_t=00001.318281s] Step finished      step=0
10:22:45 [INFO   ] runner.py:120 [sim_t=00001.318281s] Step starting      step=1
10:22:45 [INFO   ] runner.py:138 [sim_t=00001.318281s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
10:22:45 [INFO   ] runner.py:149 [sim_t=00001.328281s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
10:22:45 [INFO   ] runner.py:138 [sim_t=00001.328281s] Phase starting     step=1 phase=1 name=gradient_sync
10:23:05 [INFO   ] runner.py:149 [sim_t=00002.858775s] Phase finished     step=1 phase=1 name=gradient_sync
10:23:05 [INFO   ] runner.py:138 [sim_t=00002.858775s] Phase starting     step=1 phase=2 name=optimizer_compute
10:23:05 [INFO   ] runner.py:149 [sim_t=00002.863775s] Phase finished     step=1 phase=2 name=optimizer_compute
10:23:05 [INFO   ] runner.py:133 [sim_t=00002.863775s] Step finished      step=1
10:23:05 [INFO   ] runner.py:120 [sim_t=00002.863775s] Step starting      step=2
10:23:05 [INFO   ] runner.py:138 [sim_t=00002.863775s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
10:23:05 [INFO   ] runner.py:149 [sim_t=00002.873775s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
10:23:05 [INFO   ] runner.py:138 [sim_t=00002.873775s] Phase starting     step=2 phase=1 name=gradient_sync
10:23:26 [INFO   ] runner.py:149 [sim_t=00004.177318s] Phase finished     step=2 phase=1 name=gradient_sync
10:23:26 [INFO   ] runner.py:138 [sim_t=00004.177318s] Phase starting     step=2 phase=2 name=optimizer_compute
10:23:26 [INFO   ] runner.py:149 [sim_t=00004.182318s] Phase finished     step=2 phase=2 name=optimizer_compute
10:23:26 [INFO   ] runner.py:133 [sim_t=00004.182318s] Step finished      step=2
10:23:26 [INFO   ] runner.py:120 [sim_t=00004.182318s] Step starting      step=3
10:23:26 [INFO   ] runner.py:138 [sim_t=00004.182318s] Phase starting     step=3 phase=0 name=fwd_bwd_compute
10:23:26 [INFO   ] runner.py:149 [sim_t=00004.192318s] Phase finished     step=3 phase=0 name=fwd_bwd_compute
10:23:26 [INFO   ] runner.py:138 [sim_t=00004.192318s] Phase starting     step=3 phase=1 name=gradient_sync
10:23:47 [INFO   ] runner.py:149 [sim_t=00005.755515s] Phase finished     step=3 phase=1 name=gradient_sync
10:23:47 [INFO   ] runner.py:138 [sim_t=00005.755515s] Phase starting     step=3 phase=2 name=optimizer_compute
10:23:47 [INFO   ] runner.py:149 [sim_t=00005.760515s] Phase finished     step=3 phase=2 name=optimizer_compute
10:23:47 [INFO   ] runner.py:133 [sim_t=00005.760515s] Step finished      step=3
10:23:47 [INFO   ] runner.py:120 [sim_t=00005.760515s] Step starting      step=4
10:23:47 [INFO   ] runner.py:138 [sim_t=00005.760515s] Phase starting     step=4 phase=0 name=fwd_bwd_compute
10:23:47 [INFO   ] runner.py:149 [sim_t=00005.770515s] Phase finished     step=4 phase=0 name=fwd_bwd_compute
10:23:47 [INFO   ] runner.py:138 [sim_t=00005.770515s] Phase starting     step=4 phase=1 name=gradient_sync
10:24:08 [INFO   ] runner.py:149 [sim_t=00007.236653s] Phase finished     step=4 phase=1 name=gradient_sync
10:24:08 [INFO   ] runner.py:138 [sim_t=00007.236653s] Phase starting     step=4 phase=2 name=optimizer_compute
10:24:08 [INFO   ] runner.py:149 [sim_t=00007.241653s] Phase finished     step=4 phase=2 name=optimizer_compute
10:24:08 [INFO   ] runner.py:133 [sim_t=00007.241653s] Step finished      step=4
10:24:08 [INFO   ] runner.py:120 [sim_t=00007.241653s] Step starting      step=5
10:24:08 [INFO   ] runner.py:138 [sim_t=00007.241653s] Phase starting     step=5 phase=0 name=fwd_bwd_compute
10:24:08 [INFO   ] runner.py:149 [sim_t=00007.251653s] Phase finished     step=5 phase=0 name=fwd_bwd_compute
10:24:08 [INFO   ] runner.py:138 [sim_t=00007.251653s] Phase starting     step=5 phase=1 name=gradient_sync
10:24:28 [INFO   ] runner.py:149 [sim_t=00008.652255s] Phase finished     step=5 phase=1 name=gradient_sync
10:24:28 [INFO   ] runner.py:138 [sim_t=00008.652255s] Phase starting     step=5 phase=2 name=optimizer_compute
10:24:28 [INFO   ] runner.py:149 [sim_t=00008.657255s] Phase finished     step=5 phase=2 name=optimizer_compute
10:24:28 [INFO   ] runner.py:133 [sim_t=00008.657255s] Step finished      step=5
10:24:28 [INFO   ] runner.py:120 [sim_t=00008.657255s] Step starting      step=6
10:24:28 [INFO   ] runner.py:138 [sim_t=00008.657255s] Phase starting     step=6 phase=0 name=fwd_bwd_compute
10:24:28 [INFO   ] runner.py:149 [sim_t=00008.667255s] Phase finished     step=6 phase=0 name=fwd_bwd_compute
10:24:28 [INFO   ] runner.py:138 [sim_t=00008.667255s] Phase starting     step=6 phase=1 name=gradient_sync
10:24:49 [INFO   ] mice_flow_injector.py:145 Mice flows summary: flows=9995 avg=5.073ms p95=40.690ms p99=74.798ms
10:24:49 [INFO   ] runner.py:149 [sim_t=00010.067791s] Phase finished     step=6 phase=1 name=gradient_sync
10:24:49 [INFO   ] runner.py:138 [sim_t=00010.067791s] Phase starting     step=6 phase=2 name=optimizer_compute
10:24:49 [INFO   ] runner.py:149 [sim_t=00010.072791s] Phase finished     step=6 phase=2 name=optimizer_compute
10:24:49 [INFO   ] runner.py:133 [sim_t=00010.072791s] Step finished      step=6
10:24:49 [INFO   ] runner.py:120 [sim_t=00010.072791s] Step starting      step=7
10:24:49 [INFO   ] runner.py:138 [sim_t=00010.072791s] Phase starting     step=7 phase=0 name=fwd_bwd_compute
10:24:49 [INFO   ] runner.py:149 [sim_t=00010.082791s] Phase finished     step=7 phase=0 name=fwd_bwd_compute
10:24:49 [INFO   ] runner.py:138 [sim_t=00010.082791s] Phase starting     step=7 phase=1 name=gradient_sync
10:25:10 [INFO   ] runner.py:149 [sim_t=00011.417136s] Phase finished     step=7 phase=1 name=gradient_sync
10:25:10 [INFO   ] runner.py:138 [sim_t=00011.417136s] Phase starting     step=7 phase=2 name=optimizer_compute
10:25:10 [INFO   ] runner.py:149 [sim_t=00011.422136s] Phase finished     step=7 phase=2 name=optimizer_compute
10:25:10 [INFO   ] runner.py:133 [sim_t=00011.422136s] Step finished      step=7
10:25:10 [INFO   ] runner.py:120 [sim_t=00011.422136s] Step starting      step=8
10:25:10 [INFO   ] runner.py:138 [sim_t=00011.422136s] Phase starting     step=8 phase=0 name=fwd_bwd_compute
10:25:10 [INFO   ] runner.py:149 [sim_t=00011.432136s] Phase finished     step=8 phase=0 name=fwd_bwd_compute
10:25:10 [INFO   ] runner.py:138 [sim_t=00011.432136s] Phase starting     step=8 phase=1 name=gradient_sync
10:25:30 [INFO   ] runner.py:149 [sim_t=00012.863998s] Phase finished     step=8 phase=1 name=gradient_sync
10:25:30 [INFO   ] runner.py:138 [sim_t=00012.863998s] Phase starting     step=8 phase=2 name=optimizer_compute
10:25:30 [INFO   ] runner.py:149 [sim_t=00012.868998s] Phase finished     step=8 phase=2 name=optimizer_compute
10:25:30 [INFO   ] runner.py:133 [sim_t=00012.868998s] Step finished      step=8
10:25:30 [INFO   ] runner.py:120 [sim_t=00012.868998s] Step starting      step=9
10:25:30 [INFO   ] runner.py:138 [sim_t=00012.868998s] Phase starting     step=9 phase=0 name=fwd_bwd_compute
10:25:30 [INFO   ] runner.py:149 [sim_t=00012.878998s] Phase finished     step=9 phase=0 name=fwd_bwd_compute
10:25:30 [INFO   ] runner.py:138 [sim_t=00012.878998s] Phase starting     step=9 phase=1 name=gradient_sync
10:25:51 [INFO   ] runner.py:149 [sim_t=00014.310861s] Phase finished     step=9 phase=1 name=gradient_sync
10:25:51 [INFO   ] runner.py:138 [sim_t=00014.310861s] Phase starting     step=9 phase=2 name=optimizer_compute
10:25:51 [INFO   ] runner.py:149 [sim_t=00014.315861s] Phase finished     step=9 phase=2 name=optimizer_compute
10:25:51 [INFO   ] runner.py:133 [sim_t=00014.315861s] Step finished      step=9
10:25:51 [INFO   ] runner.py:120 [sim_t=00014.315861s] Step starting      step=10
10:25:51 [INFO   ] runner.py:138 [sim_t=00014.315861s] Phase starting     step=10 phase=0 name=fwd_bwd_compute
10:25:51 [INFO   ] runner.py:149 [sim_t=00014.325861s] Phase finished     step=10 phase=0 name=fwd_bwd_compute
10:25:51 [INFO   ] runner.py:138 [sim_t=00014.325861s] Phase starting     step=10 phase=1 name=gradient_sync
10:26:11 [INFO   ] runner.py:149 [sim_t=00015.660140s] Phase finished     step=10 phase=1 name=gradient_sync
10:26:11 [INFO   ] runner.py:138 [sim_t=00015.660140s] Phase starting     step=10 phase=2 name=optimizer_compute
10:26:11 [INFO   ] runner.py:149 [sim_t=00015.665140s] Phase finished     step=10 phase=2 name=optimizer_compute
10:26:11 [INFO   ] runner.py:133 [sim_t=00015.665140s] Step finished      step=10
10:26:11 [INFO   ] runner.py:120 [sim_t=00015.665140s] Step starting      step=11
10:26:11 [INFO   ] runner.py:138 [sim_t=00015.665140s] Phase starting     step=11 phase=0 name=fwd_bwd_compute
10:26:11 [INFO   ] runner.py:149 [sim_t=00015.675140s] Phase finished     step=11 phase=0 name=fwd_bwd_compute
10:26:11 [INFO   ] runner.py:138 [sim_t=00015.675140s] Phase starting     step=11 phase=1 name=gradient_sync
10:26:32 [INFO   ] runner.py:149 [sim_t=00017.107003s] Phase finished     step=11 phase=1 name=gradient_sync
10:26:32 [INFO   ] runner.py:138 [sim_t=00017.107003s] Phase starting     step=11 phase=2 name=optimizer_compute
10:26:32 [INFO   ] runner.py:149 [sim_t=00017.112003s] Phase finished     step=11 phase=2 name=optimizer_compute
10:26:32 [INFO   ] runner.py:133 [sim_t=00017.112003s] Step finished      step=11
10:26:32 [INFO   ] runner.py:120 [sim_t=00017.112003s] Step starting      step=12
10:26:32 [INFO   ] runner.py:138 [sim_t=00017.112003s] Phase starting     step=12 phase=0 name=fwd_bwd_compute
10:26:32 [INFO   ] runner.py:149 [sim_t=00017.122003s] Phase finished     step=12 phase=0 name=fwd_bwd_compute
10:26:32 [INFO   ] runner.py:138 [sim_t=00017.122003s] Phase starting     step=12 phase=1 name=gradient_sync
10:26:52 [INFO   ] runner.py:149 [sim_t=00018.456348s] Phase finished     step=12 phase=1 name=gradient_sync
10:26:52 [INFO   ] runner.py:138 [sim_t=00018.456348s] Phase starting     step=12 phase=2 name=optimizer_compute
10:26:52 [INFO   ] runner.py:149 [sim_t=00018.461348s] Phase finished     step=12 phase=2 name=optimizer_compute
10:26:52 [INFO   ] runner.py:133 [sim_t=00018.461348s] Step finished      step=12
10:26:52 [INFO   ] runner.py:120 [sim_t=00018.461348s] Step starting      step=13
10:26:52 [INFO   ] runner.py:138 [sim_t=00018.461348s] Phase starting     step=13 phase=0 name=fwd_bwd_compute
10:26:52 [INFO   ] runner.py:149 [sim_t=00018.471348s] Phase finished     step=13 phase=0 name=fwd_bwd_compute
10:26:52 [INFO   ] runner.py:138 [sim_t=00018.471348s] Phase starting     step=13 phase=1 name=gradient_sync
10:27:13 [INFO   ] runner.py:149 [sim_t=00020.033234s] Phase finished     step=13 phase=1 name=gradient_sync
10:27:13 [INFO   ] runner.py:138 [sim_t=00020.033234s] Phase starting     step=13 phase=2 name=optimizer_compute
10:27:13 [INFO   ] runner.py:149 [sim_t=00020.038234s] Phase finished     step=13 phase=2 name=optimizer_compute
10:27:13 [INFO   ] runner.py:133 [sim_t=00020.038234s] Step finished      step=13
10:27:13 [INFO   ] runner.py:120 [sim_t=00020.038234s] Step starting      step=14
10:27:13 [INFO   ] runner.py:138 [sim_t=00020.038234s] Phase starting     step=14 phase=0 name=fwd_bwd_compute
10:27:13 [INFO   ] runner.py:149 [sim_t=00020.048234s] Phase finished     step=14 phase=0 name=fwd_bwd_compute
10:27:13 [INFO   ] runner.py:138 [sim_t=00020.048234s] Phase starting     step=14 phase=1 name=gradient_sync
10:27:34 [INFO   ] runner.py:149 [sim_t=00021.545108s] Phase finished     step=14 phase=1 name=gradient_sync
10:27:34 [INFO   ] runner.py:138 [sim_t=00021.545108s] Phase starting     step=14 phase=2 name=optimizer_compute
10:27:34 [INFO   ] runner.py:149 [sim_t=00021.550108s] Phase finished     step=14 phase=2 name=optimizer_compute
10:27:34 [INFO   ] runner.py:133 [sim_t=00021.550108s] Step finished      step=14
10:27:34 [INFO   ] runner.py:120 [sim_t=00021.550108s] Step starting      step=15
10:27:34 [INFO   ] runner.py:138 [sim_t=00021.550108s] Phase starting     step=15 phase=0 name=fwd_bwd_compute
10:27:34 [INFO   ] runner.py:149 [sim_t=00021.560108s] Phase finished     step=15 phase=0 name=fwd_bwd_compute
10:27:34 [INFO   ] runner.py:138 [sim_t=00021.560108s] Phase starting     step=15 phase=1 name=gradient_sync
10:27:55 [INFO   ] runner.py:149 [sim_t=00023.024476s] Phase finished     step=15 phase=1 name=gradient_sync
10:27:55 [INFO   ] runner.py:138 [sim_t=00023.024476s] Phase starting     step=15 phase=2 name=optimizer_compute
10:27:55 [INFO   ] runner.py:149 [sim_t=00023.029476s] Phase finished     step=15 phase=2 name=optimizer_compute
10:27:55 [INFO   ] runner.py:133 [sim_t=00023.029476s] Step finished      step=15
10:27:55 [INFO   ] runner.py:120 [sim_t=00023.029476s] Step starting      step=16
10:27:55 [INFO   ] runner.py:138 [sim_t=00023.029476s] Phase starting     step=16 phase=0 name=fwd_bwd_compute
10:27:55 [INFO   ] runner.py:149 [sim_t=00023.039476s] Phase finished     step=16 phase=0 name=fwd_bwd_compute
10:27:55 [INFO   ] runner.py:138 [sim_t=00023.039476s] Phase starting     step=16 phase=1 name=gradient_sync
10:28:15 [INFO   ] runner.py:149 [sim_t=00024.471339s] Phase finished     step=16 phase=1 name=gradient_sync
10:28:15 [INFO   ] runner.py:138 [sim_t=00024.471339s] Phase starting     step=16 phase=2 name=optimizer_compute
10:28:15 [INFO   ] runner.py:149 [sim_t=00024.476339s] Phase finished     step=16 phase=2 name=optimizer_compute
10:28:15 [INFO   ] runner.py:133 [sim_t=00024.476339s] Step finished      step=16
10:28:15 [INFO   ] runner.py:120 [sim_t=00024.476339s] Step starting      step=17
10:28:15 [INFO   ] runner.py:138 [sim_t=00024.476339s] Phase starting     step=17 phase=0 name=fwd_bwd_compute
10:28:15 [INFO   ] runner.py:149 [sim_t=00024.486339s] Phase finished     step=17 phase=0 name=fwd_bwd_compute
10:28:15 [INFO   ] runner.py:138 [sim_t=00024.486339s] Phase starting     step=17 phase=1 name=gradient_sync
10:28:36 [INFO   ] runner.py:149 [sim_t=00025.918201s] Phase finished     step=17 phase=1 name=gradient_sync
10:28:36 [INFO   ] runner.py:138 [sim_t=00025.918201s] Phase starting     step=17 phase=2 name=optimizer_compute
10:28:36 [INFO   ] runner.py:149 [sim_t=00025.923201s] Phase finished     step=17 phase=2 name=optimizer_compute
10:28:36 [INFO   ] runner.py:133 [sim_t=00025.923201s] Step finished      step=17
10:28:36 [INFO   ] runner.py:120 [sim_t=00025.923201s] Step starting      step=18
10:28:36 [INFO   ] runner.py:138 [sim_t=00025.923201s] Phase starting     step=18 phase=0 name=fwd_bwd_compute
10:28:36 [INFO   ] runner.py:149 [sim_t=00025.933201s] Phase finished     step=18 phase=0 name=fwd_bwd_compute
10:28:36 [INFO   ] runner.py:138 [sim_t=00025.933201s] Phase starting     step=18 phase=1 name=gradient_sync
10:28:56 [INFO   ] runner.py:149 [sim_t=00027.430076s] Phase finished     step=18 phase=1 name=gradient_sync
10:28:56 [INFO   ] runner.py:138 [sim_t=00027.430076s] Phase starting     step=18 phase=2 name=optimizer_compute
10:28:56 [INFO   ] runner.py:149 [sim_t=00027.435076s] Phase finished     step=18 phase=2 name=optimizer_compute
10:28:56 [INFO   ] runner.py:133 [sim_t=00027.435076s] Step finished      step=18
10:28:56 [INFO   ] runner.py:120 [sim_t=00027.435076s] Step starting      step=19
10:28:56 [INFO   ] runner.py:138 [sim_t=00027.435076s] Phase starting     step=19 phase=0 name=fwd_bwd_compute
10:28:56 [INFO   ] runner.py:149 [sim_t=00027.445076s] Phase finished     step=19 phase=0 name=fwd_bwd_compute
10:28:56 [INFO   ] runner.py:138 [sim_t=00027.445076s] Phase starting     step=19 phase=1 name=gradient_sync
10:29:17 [INFO   ] runner.py:149 [sim_t=00029.006962s] Phase finished     step=19 phase=1 name=gradient_sync
10:29:17 [INFO   ] runner.py:138 [sim_t=00029.006962s] Phase starting     step=19 phase=2 name=optimizer_compute
10:29:17 [INFO   ] runner.py:149 [sim_t=00029.011962s] Phase finished     step=19 phase=2 name=optimizer_compute
10:29:17 [INFO   ] runner.py:133 [sim_t=00029.011962s] Step finished      step=19
10:29:17 [INFO   ] runner.py:120 [sim_t=00029.011962s] Step starting      step=20
10:29:17 [INFO   ] runner.py:138 [sim_t=00029.011962s] Phase starting     step=20 phase=0 name=fwd_bwd_compute
10:29:17 [INFO   ] runner.py:149 [sim_t=00029.021962s] Phase finished     step=20 phase=0 name=fwd_bwd_compute
10:29:17 [INFO   ] runner.py:138 [sim_t=00029.021962s] Phase starting     step=20 phase=1 name=gradient_sync
10:29:38 [INFO   ] runner.py:149 [sim_t=00030.388812s] Phase finished     step=20 phase=1 name=gradient_sync
10:29:38 [INFO   ] runner.py:138 [sim_t=00030.388812s] Phase starting     step=20 phase=2 name=optimizer_compute
10:29:38 [INFO   ] runner.py:149 [sim_t=00030.393812s] Phase finished     step=20 phase=2 name=optimizer_compute
10:29:38 [INFO   ] runner.py:133 [sim_t=00030.393812s] Step finished      step=20
10:29:38 [INFO   ] runner.py:120 [sim_t=00030.393812s] Step starting      step=21
10:29:38 [INFO   ] runner.py:138 [sim_t=00030.393812s] Phase starting     step=21 phase=0 name=fwd_bwd_compute
10:29:38 [INFO   ] runner.py:149 [sim_t=00030.403812s] Phase finished     step=21 phase=0 name=fwd_bwd_compute
10:29:38 [INFO   ] runner.py:138 [sim_t=00030.403812s] Phase starting     step=21 phase=1 name=gradient_sync
10:29:58 [INFO   ] runner.py:149 [sim_t=00031.803169s] Phase finished     step=21 phase=1 name=gradient_sync
10:29:58 [INFO   ] runner.py:138 [sim_t=00031.803169s] Phase starting     step=21 phase=2 name=optimizer_compute
10:29:58 [INFO   ] runner.py:149 [sim_t=00031.808169s] Phase finished     step=21 phase=2 name=optimizer_compute
10:29:58 [INFO   ] runner.py:133 [sim_t=00031.808169s] Step finished      step=21
10:29:58 [INFO   ] runner.py:120 [sim_t=00031.808169s] Step starting      step=22
