10:39:31 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_103931_723895_3826.log
10:39:31 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_ecmp_low.yaml
10:39:31 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
10:39:31 [INFO   ] network.py:76 Creating scenario...
10:39:33 [INFO   ] network.py:79 Scenario created.
10:39:33 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
10:39:33 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=2017794183 participants=32 steps=50
10:39:33 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
10:39:33 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
10:39:33 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
10:39:33 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
10:39:36 [INFO   ] runner.py:149 [sim_t=00000.182523s] Phase finished     step=0 phase=1 name=gradient_sync
10:39:36 [INFO   ] runner.py:138 [sim_t=00000.182523s] Phase starting     step=0 phase=2 name=optimizer_compute
10:39:36 [INFO   ] runner.py:149 [sim_t=00000.187523s] Phase finished     step=0 phase=2 name=optimizer_compute
10:39:36 [INFO   ] runner.py:133 [sim_t=00000.187523s] Step finished      step=0
10:39:36 [INFO   ] runner.py:120 [sim_t=00000.187523s] Step starting      step=1
10:39:36 [INFO   ] runner.py:138 [sim_t=00000.187523s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
10:39:36 [INFO   ] runner.py:149 [sim_t=00000.197523s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
10:39:36 [INFO   ] runner.py:138 [sim_t=00000.197523s] Phase starting     step=1 phase=1 name=gradient_sync
10:39:39 [INFO   ] runner.py:149 [sim_t=00000.353858s] Phase finished     step=1 phase=1 name=gradient_sync
10:39:39 [INFO   ] runner.py:138 [sim_t=00000.353858s] Phase starting     step=1 phase=2 name=optimizer_compute
10:39:39 [INFO   ] runner.py:149 [sim_t=00000.358858s] Phase finished     step=1 phase=2 name=optimizer_compute
10:39:39 [INFO   ] runner.py:133 [sim_t=00000.358858s] Step finished      step=1
10:39:39 [INFO   ] runner.py:120 [sim_t=00000.358858s] Step starting      step=2
10:39:39 [INFO   ] runner.py:138 [sim_t=00000.358858s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
10:39:39 [INFO   ] runner.py:149 [sim_t=00000.368858s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
10:39:39 [INFO   ] runner.py:138 [sim_t=00000.368858s] Phase starting     step=2 phase=1 name=gradient_sync
10:39:41 [INFO   ] runner.py:149 [sim_t=00000.521261s] Phase finished     step=2 phase=1 name=gradient_sync
10:39:41 [INFO   ] runner.py:138 [sim_t=00000.521261s] Phase starting     step=2 phase=2 name=optimizer_compute
10:39:41 [INFO   ] runner.py:149 [sim_t=00000.526261s] Phase finished     step=2 phase=2 name=optimizer_compute
10:39:41 [INFO   ] runner.py:133 [sim_t=00000.526261s] Step finished      step=2
10:39:41 [INFO   ] runner.py:120 [sim_t=00000.526261s] Step starting      step=3
10:39:41 [INFO   ] runner.py:138 [sim_t=00000.526261s] Phase starting     step=3 phase=0 name=fwd_bwd_compute
