10:41:46 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_104146_790715_04e4.log
10:41:46 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_ecmp_mid.yaml
10:41:46 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
10:41:46 [INFO   ] network.py:76 Creating scenario...
10:41:48 [INFO   ] network.py:79 Scenario created.
10:41:48 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
10:41:48 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=151448447 participants=32 steps=50
10:41:48 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
10:41:48 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
10:41:48 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
10:41:48 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
10:41:54 [INFO   ] runner.py:149 [sim_t=00000.401872s] Phase finished     step=0 phase=1 name=gradient_sync
10:41:54 [INFO   ] runner.py:138 [sim_t=00000.401872s] Phase starting     step=0 phase=2 name=optimizer_compute
10:41:54 [INFO   ] runner.py:149 [sim_t=00000.406872s] Phase finished     step=0 phase=2 name=optimizer_compute
10:41:54 [INFO   ] runner.py:133 [sim_t=00000.406872s] Step finished      step=0
10:41:54 [INFO   ] runner.py:120 [sim_t=00000.406872s] Step starting      step=1
10:41:54 [INFO   ] runner.py:138 [sim_t=00000.406872s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
10:41:54 [INFO   ] runner.py:149 [sim_t=00000.416872s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
10:41:54 [INFO   ] runner.py:138 [sim_t=00000.416872s] Phase starting     step=1 phase=1 name=gradient_sync
10:41:59 [INFO   ] runner.py:149 [sim_t=00000.704214s] Phase finished     step=1 phase=1 name=gradient_sync
10:41:59 [INFO   ] runner.py:138 [sim_t=00000.704214s] Phase starting     step=1 phase=2 name=optimizer_compute
10:41:59 [INFO   ] runner.py:149 [sim_t=00000.709214s] Phase finished     step=1 phase=2 name=optimizer_compute
10:41:59 [INFO   ] runner.py:133 [sim_t=00000.709214s] Step finished      step=1
10:41:59 [INFO   ] runner.py:120 [sim_t=00000.709214s] Step starting      step=2
10:41:59 [INFO   ] runner.py:138 [sim_t=00000.709214s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
10:41:59 [INFO   ] runner.py:149 [sim_t=00000.719214s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
10:41:59 [INFO   ] runner.py:138 [sim_t=00000.719214s] Phase starting     step=2 phase=1 name=gradient_sync
10:42:04 [INFO   ] runner.py:149 [sim_t=00001.062259s] Phase finished     step=2 phase=1 name=gradient_sync
10:42:04 [INFO   ] runner.py:138 [sim_t=00001.062259s] Phase starting     step=2 phase=2 name=optimizer_compute
10:42:04 [INFO   ] runner.py:149 [sim_t=00001.067259s] Phase finished     step=2 phase=2 name=optimizer_compute
10:42:04 [INFO   ] runner.py:133 [sim_t=00001.067259s] Step finished      step=2
10:42:04 [INFO   ] runner.py:120 [sim_t=00001.067259s] Step starting      step=3
10:42:04 [INFO   ] runner.py:138 [sim_t=00001.067259s] Phase starting     step=3 phase=0 name=fwd_bwd_compute
10:42:04 [INFO   ] runner.py:149 [sim_t=00001.077259s] Phase finished     step=3 phase=0 name=fwd_bwd_compute
10:42:04 [INFO   ] runner.py:138 [sim_t=00001.077259s] Phase starting     step=3 phase=1 name=gradient_sync
10:42:10 [INFO   ] runner.py:149 [sim_t=00001.436559s] Phase finished     step=3 phase=1 name=gradient_sync
10:42:10 [INFO   ] runner.py:138 [sim_t=00001.436559s] Phase starting     step=3 phase=2 name=optimizer_compute
10:42:10 [INFO   ] runner.py:149 [sim_t=00001.441559s] Phase finished     step=3 phase=2 name=optimizer_compute
10:42:10 [INFO   ] runner.py:133 [sim_t=00001.441559s] Step finished      step=3
10:42:10 [INFO   ] runner.py:120 [sim_t=00001.441559s] Step starting      step=4
10:42:10 [INFO   ] runner.py:138 [sim_t=00001.441559s] Phase starting     step=4 phase=0 name=fwd_bwd_compute
10:42:10 [INFO   ] runner.py:149 [sim_t=00001.451559s] Phase finished     step=4 phase=0 name=fwd_bwd_compute
10:42:10 [INFO   ] runner.py:138 [sim_t=00001.451559s] Phase starting     step=4 phase=1 name=gradient_sync
10:42:15 [INFO   ] runner.py:149 [sim_t=00001.798867s] Phase finished     step=4 phase=1 name=gradient_sync
