10:46:12 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_104612_738760_ad89.log
10:46:12 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_flowlet_high.yaml
10:46:12 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
10:46:12 [INFO   ] network.py:76 Creating scenario...
10:46:14 [INFO   ] network.py:79 Scenario created.
10:46:14 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
10:46:14 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=483110342 participants=32 steps=50
10:46:14 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
10:46:14 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
10:46:14 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
10:46:14 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
10:46:35 [INFO   ] runner.py:149 [sim_t=00001.248335s] Phase finished     step=0 phase=1 name=gradient_sync
10:46:35 [INFO   ] runner.py:138 [sim_t=00001.248335s] Phase starting     step=0 phase=2 name=optimizer_compute
10:46:35 [INFO   ] runner.py:149 [sim_t=00001.253335s] Phase finished     step=0 phase=2 name=optimizer_compute
10:46:35 [INFO   ] runner.py:133 [sim_t=00001.253335s] Step finished      step=0
10:46:35 [INFO   ] runner.py:120 [sim_t=00001.253335s] Step starting      step=1
10:46:35 [INFO   ] runner.py:138 [sim_t=00001.253335s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
10:46:35 [INFO   ] runner.py:149 [sim_t=00001.263335s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
10:46:35 [INFO   ] runner.py:138 [sim_t=00001.263335s] Phase starting     step=1 phase=1 name=gradient_sync
10:46:56 [INFO   ] runner.py:149 [sim_t=00002.631234s] Phase finished     step=1 phase=1 name=gradient_sync
10:46:56 [INFO   ] runner.py:138 [sim_t=00002.631234s] Phase starting     step=1 phase=2 name=optimizer_compute
10:46:56 [INFO   ] runner.py:149 [sim_t=00002.636234s] Phase finished     step=1 phase=2 name=optimizer_compute
10:46:56 [INFO   ] runner.py:133 [sim_t=00002.636234s] Step finished      step=1
10:46:56 [INFO   ] runner.py:120 [sim_t=00002.636234s] Step starting      step=2
10:46:56 [INFO   ] runner.py:138 [sim_t=00002.636234s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
10:46:56 [INFO   ] runner.py:149 [sim_t=00002.646234s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
10:46:56 [INFO   ] runner.py:138 [sim_t=00002.646234s] Phase starting     step=2 phase=1 name=gradient_sync
10:47:16 [INFO   ] runner.py:149 [sim_t=00004.014592s] Phase finished     step=2 phase=1 name=gradient_sync
10:47:16 [INFO   ] runner.py:138 [sim_t=00004.014592s] Phase starting     step=2 phase=2 name=optimizer_compute
10:47:16 [INFO   ] runner.py:149 [sim_t=00004.019592s] Phase finished     step=2 phase=2 name=optimizer_compute
10:47:16 [INFO   ] runner.py:133 [sim_t=00004.019592s] Step finished      step=2
10:47:16 [INFO   ] runner.py:120 [sim_t=00004.019592s] Step starting      step=3
