11:03:18 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_110318_723151_c792.log
11:03:18 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_flowlet_high_failures.yaml
11:03:18 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
11:03:18 [INFO   ] network.py:63 Link failure summary: 21 links marked as failed
11:03:18 [INFO   ] network.py:76 Creating scenario...
11:03:20 [INFO   ] network.py:79 Scenario created.
11:03:20 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
11:03:20 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=1170564089 participants=32 steps=50
11:03:20 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
11:03:20 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
11:03:20 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
11:03:20 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
11:03:42 [INFO   ] runner.py:149 [sim_t=00001.670976s] Phase finished     step=0 phase=1 name=gradient_sync
11:03:42 [INFO   ] runner.py:138 [sim_t=00001.670976s] Phase starting     step=0 phase=2 name=optimizer_compute
11:03:42 [INFO   ] runner.py:149 [sim_t=00001.675976s] Phase finished     step=0 phase=2 name=optimizer_compute
11:03:42 [INFO   ] runner.py:133 [sim_t=00001.675976s] Step finished      step=0
11:03:42 [INFO   ] runner.py:120 [sim_t=00001.675976s] Step starting      step=1
11:03:42 [INFO   ] runner.py:138 [sim_t=00001.675976s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
11:03:42 [INFO   ] runner.py:149 [sim_t=00001.685976s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
11:03:42 [INFO   ] runner.py:138 [sim_t=00001.685976s] Phase starting     step=1 phase=1 name=gradient_sync
11:04:02 [INFO   ] runner.py:149 [sim_t=00002.924966s] Phase finished     step=1 phase=1 name=gradient_sync
11:04:02 [INFO   ] runner.py:138 [sim_t=00002.924966s] Phase starting     step=1 phase=2 name=optimizer_compute
11:04:02 [INFO   ] runner.py:149 [sim_t=00002.929966s] Phase finished     step=1 phase=2 name=optimizer_compute
11:04:02 [INFO   ] runner.py:133 [sim_t=00002.929966s] Step finished      step=1
11:04:02 [INFO   ] runner.py:120 [sim_t=00002.929966s] Step starting      step=2
11:04:02 [INFO   ] runner.py:138 [sim_t=00002.929966s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
11:04:02 [INFO   ] runner.py:149 [sim_t=00002.939966s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
11:04:02 [INFO   ] runner.py:138 [sim_t=00002.939966s] Phase starting     step=2 phase=1 name=gradient_sync
11:04:23 [INFO   ] runner.py:149 [sim_t=00004.342169s] Phase finished     step=2 phase=1 name=gradient_sync
11:04:23 [INFO   ] runner.py:138 [sim_t=00004.342169s] Phase starting     step=2 phase=2 name=optimizer_compute
11:04:23 [INFO   ] runner.py:149 [sim_t=00004.347169s] Phase finished     step=2 phase=2 name=optimizer_compute
11:04:23 [INFO   ] runner.py:133 [sim_t=00004.347169s] Step finished      step=2
11:04:23 [INFO   ] runner.py:120 [sim_t=00004.347169s] Step starting      step=3
11:04:23 [INFO   ] runner.py:138 [sim_t=00004.347169s] Phase starting     step=3 phase=0 name=fwd_bwd_compute
11:04:23 [INFO   ] runner.py:149 [sim_t=00004.357169s] Phase finished     step=3 phase=0 name=fwd_bwd_compute
11:04:23 [INFO   ] runner.py:138 [sim_t=00004.357169s] Phase starting     step=3 phase=1 name=gradient_sync
11:04:44 [INFO   ] runner.py:149 [sim_t=00005.952216s] Phase finished     step=3 phase=1 name=gradient_sync
11:04:44 [INFO   ] runner.py:138 [sim_t=00005.952216s] Phase starting     step=3 phase=2 name=optimizer_compute
11:04:44 [INFO   ] runner.py:149 [sim_t=00005.957216s] Phase finished     step=3 phase=2 name=optimizer_compute
11:04:44 [INFO   ] runner.py:133 [sim_t=00005.957216s] Step finished      step=3
11:04:44 [INFO   ] runner.py:120 [sim_t=00005.957216s] Step starting      step=4
11:04:44 [INFO   ] runner.py:138 [sim_t=00005.957216s] Phase starting     step=4 phase=0 name=fwd_bwd_compute
11:04:44 [INFO   ] runner.py:149 [sim_t=00005.967216s] Phase finished     step=4 phase=0 name=fwd_bwd_compute
11:04:44 [INFO   ] runner.py:138 [sim_t=00005.967216s] Phase starting     step=4 phase=1 name=gradient_sync
11:05:05 [INFO   ] runner.py:149 [sim_t=00007.465336s] Phase finished     step=4 phase=1 name=gradient_sync
11:05:05 [INFO   ] runner.py:138 [sim_t=00007.465336s] Phase starting     step=4 phase=2 name=optimizer_compute
11:05:05 [INFO   ] runner.py:149 [sim_t=00007.470336s] Phase finished     step=4 phase=2 name=optimizer_compute
11:05:05 [INFO   ] runner.py:133 [sim_t=00007.470336s] Step finished      step=4
11:05:05 [INFO   ] runner.py:120 [sim_t=00007.470336s] Step starting      step=5
11:05:05 [INFO   ] runner.py:138 [sim_t=00007.470336s] Phase starting     step=5 phase=0 name=fwd_bwd_compute
11:05:05 [INFO   ] runner.py:149 [sim_t=00007.480336s] Phase finished     step=5 phase=0 name=fwd_bwd_compute
11:05:05 [INFO   ] runner.py:138 [sim_t=00007.480336s] Phase starting     step=5 phase=1 name=gradient_sync
11:05:26 [INFO   ] runner.py:149 [sim_t=00008.784272s] Phase finished     step=5 phase=1 name=gradient_sync
11:05:26 [INFO   ] runner.py:138 [sim_t=00008.784272s] Phase starting     step=5 phase=2 name=optimizer_compute
11:05:26 [INFO   ] runner.py:149 [sim_t=00008.789272s] Phase finished     step=5 phase=2 name=optimizer_compute
11:05:26 [INFO   ] runner.py:133 [sim_t=00008.789272s] Step finished      step=5
11:05:26 [INFO   ] runner.py:120 [sim_t=00008.789272s] Step starting      step=6
11:05:26 [INFO   ] runner.py:138 [sim_t=00008.789272s] Phase starting     step=6 phase=0 name=fwd_bwd_compute
11:05:26 [INFO   ] runner.py:149 [sim_t=00008.799272s] Phase finished     step=6 phase=0 name=fwd_bwd_compute
11:05:26 [INFO   ] runner.py:138 [sim_t=00008.799272s] Phase starting     step=6 phase=1 name=gradient_sync
11:05:46 [INFO   ] mice_flow_injector.py:145 Mice flows summary: flows=9989 avg=5.508ms p95=45.447ms p99=81.464ms
11:05:47 [INFO   ] runner.py:149 [sim_t=00010.134663s] Phase finished     step=6 phase=1 name=gradient_sync
11:05:47 [INFO   ] runner.py:138 [sim_t=00010.134663s] Phase starting     step=6 phase=2 name=optimizer_compute
11:05:47 [INFO   ] runner.py:149 [sim_t=00010.139663s] Phase finished     step=6 phase=2 name=optimizer_compute
11:05:47 [INFO   ] runner.py:133 [sim_t=00010.139663s] Step finished      step=6
11:05:47 [INFO   ] runner.py:120 [sim_t=00010.139663s] Step starting      step=7
11:05:47 [INFO   ] runner.py:138 [sim_t=00010.139663s] Phase starting     step=7 phase=0 name=fwd_bwd_compute
11:05:47 [INFO   ] runner.py:149 [sim_t=00010.149663s] Phase finished     step=7 phase=0 name=fwd_bwd_compute
11:05:47 [INFO   ] runner.py:138 [sim_t=00010.149663s] Phase starting     step=7 phase=1 name=gradient_sync
11:06:07 [INFO   ] runner.py:149 [sim_t=00011.289039s] Phase finished     step=7 phase=1 name=gradient_sync
11:06:07 [INFO   ] runner.py:138 [sim_t=00011.289039s] Phase starting     step=7 phase=2 name=optimizer_compute
11:06:07 [INFO   ] runner.py:149 [sim_t=00011.294039s] Phase finished     step=7 phase=2 name=optimizer_compute
11:06:07 [INFO   ] runner.py:133 [sim_t=00011.294039s] Step finished      step=7
11:06:07 [INFO   ] runner.py:120 [sim_t=00011.294039s] Step starting      step=8
11:06:07 [INFO   ] runner.py:138 [sim_t=00011.294039s] Phase starting     step=8 phase=0 name=fwd_bwd_compute
11:06:07 [INFO   ] runner.py:149 [sim_t=00011.304039s] Phase finished     step=8 phase=0 name=fwd_bwd_compute
11:06:07 [INFO   ] runner.py:138 [sim_t=00011.304039s] Phase starting     step=8 phase=1 name=gradient_sync
11:06:28 [INFO   ] runner.py:149 [sim_t=00012.800913s] Phase finished     step=8 phase=1 name=gradient_sync
11:06:28 [INFO   ] runner.py:138 [sim_t=00012.800913s] Phase starting     step=8 phase=2 name=optimizer_compute
11:06:28 [INFO   ] runner.py:149 [sim_t=00012.805913s] Phase finished     step=8 phase=2 name=optimizer_compute
11:06:28 [INFO   ] runner.py:133 [sim_t=00012.805913s] Step finished      step=8
11:06:28 [INFO   ] runner.py:120 [sim_t=00012.805913s] Step starting      step=9
11:06:28 [INFO   ] runner.py:138 [sim_t=00012.805913s] Phase starting     step=9 phase=0 name=fwd_bwd_compute
11:06:28 [INFO   ] runner.py:149 [sim_t=00012.815913s] Phase finished     step=9 phase=0 name=fwd_bwd_compute
11:06:28 [INFO   ] runner.py:138 [sim_t=00012.815913s] Phase starting     step=9 phase=1 name=gradient_sync
11:06:49 [INFO   ] runner.py:149 [sim_t=00014.410305s] Phase finished     step=9 phase=1 name=gradient_sync
11:06:49 [INFO   ] runner.py:138 [sim_t=00014.410305s] Phase starting     step=9 phase=2 name=optimizer_compute
11:06:49 [INFO   ] runner.py:149 [sim_t=00014.415305s] Phase finished     step=9 phase=2 name=optimizer_compute
11:06:49 [INFO   ] runner.py:133 [sim_t=00014.415305s] Step finished      step=9
11:06:49 [INFO   ] runner.py:120 [sim_t=00014.415305s] Step starting      step=10
11:06:49 [INFO   ] runner.py:138 [sim_t=00014.415305s] Phase starting     step=10 phase=0 name=fwd_bwd_compute
11:06:49 [INFO   ] runner.py:149 [sim_t=00014.425305s] Phase finished     step=10 phase=0 name=fwd_bwd_compute
11:06:49 [INFO   ] runner.py:138 [sim_t=00014.425305s] Phase starting     step=10 phase=1 name=gradient_sync
11:07:09 [INFO   ] runner.py:149 [sim_t=00016.117214s] Phase finished     step=10 phase=1 name=gradient_sync
11:07:09 [INFO   ] runner.py:138 [sim_t=00016.117214s] Phase starting     step=10 phase=2 name=optimizer_compute
11:07:09 [INFO   ] runner.py:149 [sim_t=00016.122214s] Phase finished     step=10 phase=2 name=optimizer_compute
11:07:09 [INFO   ] runner.py:133 [sim_t=00016.122214s] Step finished      step=10
11:07:09 [INFO   ] runner.py:120 [sim_t=00016.122214s] Step starting      step=11
11:07:09 [INFO   ] runner.py:138 [sim_t=00016.122214s] Phase starting     step=11 phase=0 name=fwd_bwd_compute
