11:20:31 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_112031_960111_fc32.log
11:20:31 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_flowlet_low.yaml
11:20:31 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
11:20:31 [INFO   ] network.py:76 Creating scenario...
11:20:33 [INFO   ] network.py:79 Scenario created.
11:20:33 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
11:20:33 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=1832601180 participants=32 steps=50
11:20:33 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
11:20:33 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
11:20:33 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
11:20:33 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
11:20:36 [INFO   ] runner.py:149 [sim_t=00000.162665s] Phase finished     step=0 phase=1 name=gradient_sync
11:20:36 [INFO   ] runner.py:138 [sim_t=00000.162665s] Phase starting     step=0 phase=2 name=optimizer_compute
11:20:36 [INFO   ] runner.py:149 [sim_t=00000.167665s] Phase finished     step=0 phase=2 name=optimizer_compute
11:20:36 [INFO   ] runner.py:133 [sim_t=00000.167665s] Step finished      step=0
11:20:36 [INFO   ] runner.py:120 [sim_t=00000.167665s] Step starting      step=1
11:20:36 [INFO   ] runner.py:138 [sim_t=00000.167665s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
11:20:36 [INFO   ] runner.py:149 [sim_t=00000.177665s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
11:20:36 [INFO   ] runner.py:138 [sim_t=00000.177665s] Phase starting     step=1 phase=1 name=gradient_sync
11:20:39 [INFO   ] runner.py:149 [sim_t=00000.350057s] Phase finished     step=1 phase=1 name=gradient_sync
11:20:39 [INFO   ] runner.py:138 [sim_t=00000.350057s] Phase starting     step=1 phase=2 name=optimizer_compute
11:20:39 [INFO   ] runner.py:149 [sim_t=00000.355057s] Phase finished     step=1 phase=2 name=optimizer_compute
11:20:39 [INFO   ] runner.py:133 [sim_t=00000.355057s] Step finished      step=1
11:20:39 [INFO   ] runner.py:120 [sim_t=00000.355057s] Step starting      step=2
11:20:39 [INFO   ] runner.py:138 [sim_t=00000.355057s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
