11:22:48 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-workload1-dp-heavy_20260128_112248_036582_36bf.log
11:22:48 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_dp_heavy_scenario_flowlet_mid.yaml
11:22:48 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
11:22:48 [INFO   ] network.py:76 Creating scenario...
11:22:49 [INFO   ] network.py:79 Scenario created.
11:22:49 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
11:22:49 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=workload1-dp-heavy id=1325491412 participants=32 steps=50
11:22:49 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
11:22:49 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=fwd_bwd_compute
11:22:49 [INFO   ] runner.py:149 [sim_t=00000.010000s] Phase finished     step=0 phase=0 name=fwd_bwd_compute
11:22:49 [INFO   ] runner.py:138 [sim_t=00000.010000s] Phase starting     step=0 phase=1 name=gradient_sync
11:22:55 [INFO   ] runner.py:149 [sim_t=00000.369431s] Phase finished     step=0 phase=1 name=gradient_sync
11:22:55 [INFO   ] runner.py:138 [sim_t=00000.369431s] Phase starting     step=0 phase=2 name=optimizer_compute
11:22:55 [INFO   ] runner.py:149 [sim_t=00000.374431s] Phase finished     step=0 phase=2 name=optimizer_compute
11:22:55 [INFO   ] runner.py:133 [sim_t=00000.374431s] Step finished      step=0
11:22:55 [INFO   ] runner.py:120 [sim_t=00000.374431s] Step starting      step=1
11:22:55 [INFO   ] runner.py:138 [sim_t=00000.374431s] Phase starting     step=1 phase=0 name=fwd_bwd_compute
11:22:55 [INFO   ] runner.py:149 [sim_t=00000.384431s] Phase finished     step=1 phase=0 name=fwd_bwd_compute
11:22:55 [INFO   ] runner.py:138 [sim_t=00000.384431s] Phase starting     step=1 phase=1 name=gradient_sync
11:23:00 [INFO   ] runner.py:149 [sim_t=00000.699429s] Phase finished     step=1 phase=1 name=gradient_sync
11:23:00 [INFO   ] runner.py:138 [sim_t=00000.699429s] Phase starting     step=1 phase=2 name=optimizer_compute
11:23:00 [INFO   ] runner.py:149 [sim_t=00000.704429s] Phase finished     step=1 phase=2 name=optimizer_compute
11:23:00 [INFO   ] runner.py:133 [sim_t=00000.704429s] Step finished      step=1
11:23:00 [INFO   ] runner.py:120 [sim_t=00000.704429s] Step starting      step=2
11:23:00 [INFO   ] runner.py:138 [sim_t=00000.704429s] Phase starting     step=2 phase=0 name=fwd_bwd_compute
11:23:00 [INFO   ] runner.py:149 [sim_t=00000.714429s] Phase finished     step=2 phase=0 name=fwd_bwd_compute
11:23:00 [INFO   ] runner.py:138 [sim_t=00000.714429s] Phase starting     step=2 phase=1 name=gradient_sync
11:23:05 [INFO   ] runner.py:149 [sim_t=00001.041421s] Phase finished     step=2 phase=1 name=gradient_sync
11:23:05 [INFO   ] runner.py:138 [sim_t=00001.041421s] Phase starting     step=2 phase=2 name=optimizer_compute
11:23:05 [INFO   ] runner.py:149 [sim_t=00001.046421s] Phase finished     step=2 phase=2 name=optimizer_compute
11:23:05 [INFO   ] runner.py:133 [sim_t=00001.046421s] Step finished      step=2
11:23:05 [INFO   ] runner.py:120 [sim_t=00001.046421s] Step starting      step=3
11:23:05 [INFO   ] runner.py:138 [sim_t=00001.046421s] Phase starting     step=3 phase=0 name=fwd_bwd_compute
11:23:05 [INFO   ] runner.py:149 [sim_t=00001.056421s] Phase finished     step=3 phase=0 name=fwd_bwd_compute
11:23:05 [INFO   ] runner.py:138 [sim_t=00001.056421s] Phase starting     step=3 phase=1 name=gradient_sync
11:23:11 [INFO   ] runner.py:149 [sim_t=00001.335831s] Phase finished     step=3 phase=1 name=gradient_sync
11:23:11 [INFO   ] runner.py:138 [sim_t=00001.335831s] Phase starting     step=3 phase=2 name=optimizer_compute
11:23:11 [INFO   ] runner.py:149 [sim_t=00001.340831s] Phase finished     step=3 phase=2 name=optimizer_compute
11:23:11 [INFO   ] runner.py:133 [sim_t=00001.340831s] Step finished      step=3
11:23:11 [INFO   ] runner.py:120 [sim_t=00001.340831s] Step starting      step=4
11:23:11 [INFO   ] runner.py:138 [sim_t=00001.340831s] Phase starting     step=4 phase=0 name=fwd_bwd_compute
11:23:11 [INFO   ] runner.py:149 [sim_t=00001.350831s] Phase finished     step=4 phase=0 name=fwd_bwd_compute
11:23:11 [INFO   ] runner.py:138 [sim_t=00001.350831s] Phase starting     step=4 phase=1 name=gradient_sync
11:23:16 [INFO   ] runner.py:149 [sim_t=00001.694533s] Phase finished     step=4 phase=1 name=gradient_sync
11:23:16 [INFO   ] runner.py:138 [sim_t=00001.694533s] Phase starting     step=4 phase=2 name=optimizer_compute
11:23:16 [INFO   ] runner.py:149 [sim_t=00001.699533s] Phase finished     step=4 phase=2 name=optimizer_compute
11:23:16 [INFO   ] runner.py:133 [sim_t=00001.699533s] Step finished      step=4
11:23:16 [INFO   ] runner.py:120 [sim_t=00001.699533s] Step starting      step=5
11:23:16 [INFO   ] runner.py:138 [sim_t=00001.699533s] Phase starting     step=5 phase=0 name=fwd_bwd_compute
11:23:16 [INFO   ] runner.py:149 [sim_t=00001.709533s] Phase finished     step=5 phase=0 name=fwd_bwd_compute
11:23:16 [INFO   ] runner.py:138 [sim_t=00001.709533s] Phase starting     step=5 phase=1 name=gradient_sync
11:23:21 [INFO   ] runner.py:149 [sim_t=00002.028988s] Phase finished     step=5 phase=1 name=gradient_sync
11:23:21 [INFO   ] runner.py:138 [sim_t=00002.028988s] Phase starting     step=5 phase=2 name=optimizer_compute
11:23:21 [INFO   ] runner.py:149 [sim_t=00002.033988s] Phase finished     step=5 phase=2 name=optimizer_compute
11:23:21 [INFO   ] runner.py:133 [sim_t=00002.033988s] Step finished      step=5
11:23:21 [INFO   ] runner.py:120 [sim_t=00002.033988s] Step starting      step=6
11:23:21 [INFO   ] runner.py:138 [sim_t=00002.033988s] Phase starting     step=6 phase=0 name=fwd_bwd_compute
11:23:21 [INFO   ] runner.py:149 [sim_t=00002.043988s] Phase finished     step=6 phase=0 name=fwd_bwd_compute
11:23:21 [INFO   ] runner.py:138 [sim_t=00002.043988s] Phase starting     step=6 phase=1 name=gradient_sync
11:23:26 [INFO   ] runner.py:149 [sim_t=00002.419934s] Phase finished     step=6 phase=1 name=gradient_sync
11:23:26 [INFO   ] runner.py:138 [sim_t=00002.419934s] Phase starting     step=6 phase=2 name=optimizer_compute
11:23:26 [INFO   ] runner.py:149 [sim_t=00002.424934s] Phase finished     step=6 phase=2 name=optimizer_compute
11:23:26 [INFO   ] runner.py:133 [sim_t=00002.424934s] Step finished      step=6
11:23:26 [INFO   ] runner.py:120 [sim_t=00002.424934s] Step starting      step=7
11:23:26 [INFO   ] runner.py:138 [sim_t=00002.424934s] Phase starting     step=7 phase=0 name=fwd_bwd_compute
11:23:26 [INFO   ] runner.py:149 [sim_t=00002.434934s] Phase finished     step=7 phase=0 name=fwd_bwd_compute
11:23:26 [INFO   ] runner.py:138 [sim_t=00002.434934s] Phase starting     step=7 phase=1 name=gradient_sync
11:23:32 [INFO   ] runner.py:149 [sim_t=00002.762186s] Phase finished     step=7 phase=1 name=gradient_sync
11:23:32 [INFO   ] runner.py:138 [sim_t=00002.762186s] Phase starting     step=7 phase=2 name=optimizer_compute
11:23:32 [INFO   ] runner.py:149 [sim_t=00002.767186s] Phase finished     step=7 phase=2 name=optimizer_compute
11:23:32 [INFO   ] runner.py:133 [sim_t=00002.767186s] Step finished      step=7
11:23:32 [INFO   ] runner.py:120 [sim_t=00002.767186s] Step starting      step=8
11:23:32 [INFO   ] runner.py:138 [sim_t=00002.767186s] Phase starting     step=8 phase=0 name=fwd_bwd_compute
11:23:32 [INFO   ] runner.py:149 [sim_t=00002.777186s] Phase finished     step=8 phase=0 name=fwd_bwd_compute
11:23:32 [INFO   ] runner.py:138 [sim_t=00002.777186s] Phase starting     step=8 phase=1 name=gradient_sync
11:23:37 [INFO   ] runner.py:149 [sim_t=00003.112827s] Phase finished     step=8 phase=1 name=gradient_sync
11:23:37 [INFO   ] runner.py:138 [sim_t=00003.112827s] Phase starting     step=8 phase=2 name=optimizer_compute
11:23:37 [INFO   ] runner.py:149 [sim_t=00003.117827s] Phase finished     step=8 phase=2 name=optimizer_compute
11:23:37 [INFO   ] runner.py:133 [sim_t=00003.117827s] Step finished      step=8
11:23:37 [INFO   ] runner.py:120 [sim_t=00003.117827s] Step starting      step=9
11:23:37 [INFO   ] runner.py:138 [sim_t=00003.117827s] Phase starting     step=9 phase=0 name=fwd_bwd_compute
11:23:37 [INFO   ] runner.py:149 [sim_t=00003.127827s] Phase finished     step=9 phase=0 name=fwd_bwd_compute
11:23:37 [INFO   ] runner.py:138 [sim_t=00003.127827s] Phase starting     step=9 phase=1 name=gradient_sync
11:23:42 [INFO   ] runner.py:149 [sim_t=00003.487980s] Phase finished     step=9 phase=1 name=gradient_sync
11:23:42 [INFO   ] runner.py:138 [sim_t=00003.487980s] Phase starting     step=9 phase=2 name=optimizer_compute
11:23:42 [INFO   ] runner.py:149 [sim_t=00003.492980s] Phase finished     step=9 phase=2 name=optimizer_compute
11:23:42 [INFO   ] runner.py:133 [sim_t=00003.492980s] Step finished      step=9
11:23:42 [INFO   ] runner.py:120 [sim_t=00003.492980s] Step starting      step=10
11:23:42 [INFO   ] runner.py:138 [sim_t=00003.492980s] Phase starting     step=10 phase=0 name=fwd_bwd_compute
11:23:42 [INFO   ] runner.py:149 [sim_t=00003.502980s] Phase finished     step=10 phase=0 name=fwd_bwd_compute
11:23:42 [INFO   ] runner.py:138 [sim_t=00003.502980s] Phase starting     step=10 phase=1 name=gradient_sync
11:23:48 [INFO   ] runner.py:149 [sim_t=00003.830298s] Phase finished     step=10 phase=1 name=gradient_sync
11:23:48 [INFO   ] runner.py:138 [sim_t=00003.830298s] Phase starting     step=10 phase=2 name=optimizer_compute
11:23:48 [INFO   ] runner.py:149 [sim_t=00003.835298s] Phase finished     step=10 phase=2 name=optimizer_compute
11:23:48 [INFO   ] runner.py:133 [sim_t=00003.835298s] Step finished      step=10
11:23:48 [INFO   ] runner.py:120 [sim_t=00003.835298s] Step starting      step=11
11:23:48 [INFO   ] runner.py:138 [sim_t=00003.835298s] Phase starting     step=11 phase=0 name=fwd_bwd_compute
11:23:48 [INFO   ] runner.py:149 [sim_t=00003.845298s] Phase finished     step=11 phase=0 name=fwd_bwd_compute
11:23:48 [INFO   ] runner.py:138 [sim_t=00003.845298s] Phase starting     step=11 phase=1 name=gradient_sync
11:23:53 [INFO   ] runner.py:149 [sim_t=00004.156299s] Phase finished     step=11 phase=1 name=gradient_sync
11:23:53 [INFO   ] runner.py:138 [sim_t=00004.156299s] Phase starting     step=11 phase=2 name=optimizer_compute
11:23:53 [INFO   ] runner.py:149 [sim_t=00004.161299s] Phase finished     step=11 phase=2 name=optimizer_compute
11:23:53 [INFO   ] runner.py:133 [sim_t=00004.161299s] Step finished      step=11
11:23:53 [INFO   ] runner.py:120 [sim_t=00004.161299s] Step starting      step=12
11:23:53 [INFO   ] runner.py:138 [sim_t=00004.161299s] Phase starting     step=12 phase=0 name=fwd_bwd_compute
11:23:53 [INFO   ] runner.py:149 [sim_t=00004.171299s] Phase finished     step=12 phase=0 name=fwd_bwd_compute
11:23:53 [INFO   ] runner.py:138 [sim_t=00004.171299s] Phase starting     step=12 phase=1 name=gradient_sync
11:23:58 [INFO   ] runner.py:149 [sim_t=00004.498618s] Phase finished     step=12 phase=1 name=gradient_sync
11:23:58 [INFO   ] runner.py:138 [sim_t=00004.498618s] Phase starting     step=12 phase=2 name=optimizer_compute
11:23:58 [INFO   ] runner.py:149 [sim_t=00004.503618s] Phase finished     step=12 phase=2 name=optimizer_compute
11:23:58 [INFO   ] runner.py:133 [sim_t=00004.503618s] Step finished      step=12
11:23:58 [INFO   ] runner.py:120 [sim_t=00004.503618s] Step starting      step=13
11:23:58 [INFO   ] runner.py:138 [sim_t=00004.503618s] Phase starting     step=13 phase=0 name=fwd_bwd_compute
11:23:58 [INFO   ] runner.py:149 [sim_t=00004.513618s] Phase finished     step=13 phase=0 name=fwd_bwd_compute
11:23:58 [INFO   ] runner.py:138 [sim_t=00004.513618s] Phase starting     step=13 phase=1 name=gradient_sync
11:24:03 [INFO   ] runner.py:149 [sim_t=00004.865054s] Phase finished     step=13 phase=1 name=gradient_sync
11:24:03 [INFO   ] runner.py:138 [sim_t=00004.865054s] Phase starting     step=13 phase=2 name=optimizer_compute
11:24:03 [INFO   ] runner.py:149 [sim_t=00004.870054s] Phase finished     step=13 phase=2 name=optimizer_compute
11:24:03 [INFO   ] runner.py:133 [sim_t=00004.870054s] Step finished      step=13
11:24:03 [INFO   ] runner.py:120 [sim_t=00004.870054s] Step starting      step=14
11:24:03 [INFO   ] runner.py:138 [sim_t=00004.870054s] Phase starting     step=14 phase=0 name=fwd_bwd_compute
11:24:03 [INFO   ] runner.py:149 [sim_t=00004.880054s] Phase finished     step=14 phase=0 name=fwd_bwd_compute
11:24:03 [INFO   ] runner.py:138 [sim_t=00004.880054s] Phase starting     step=14 phase=1 name=gradient_sync
11:24:09 [INFO   ] runner.py:149 [sim_t=00005.215433s] Phase finished     step=14 phase=1 name=gradient_sync
11:24:09 [INFO   ] runner.py:138 [sim_t=00005.215433s] Phase starting     step=14 phase=2 name=optimizer_compute
11:24:09 [INFO   ] runner.py:149 [sim_t=00005.220433s] Phase finished     step=14 phase=2 name=optimizer_compute
11:24:09 [INFO   ] runner.py:133 [sim_t=00005.220433s] Step finished      step=14
11:24:09 [INFO   ] runner.py:120 [sim_t=00005.220433s] Step starting      step=15
11:24:09 [INFO   ] runner.py:138 [sim_t=00005.220433s] Phase starting     step=15 phase=0 name=fwd_bwd_compute
11:24:09 [INFO   ] runner.py:149 [sim_t=00005.230433s] Phase finished     step=15 phase=0 name=fwd_bwd_compute
11:24:09 [INFO   ] runner.py:138 [sim_t=00005.230433s] Phase starting     step=15 phase=1 name=gradient_sync
11:24:14 [INFO   ] runner.py:149 [sim_t=00005.565420s] Phase finished     step=15 phase=1 name=gradient_sync
11:24:14 [INFO   ] runner.py:138 [sim_t=00005.565420s] Phase starting     step=15 phase=2 name=optimizer_compute
11:24:14 [INFO   ] runner.py:149 [sim_t=00005.570420s] Phase finished     step=15 phase=2 name=optimizer_compute
11:24:14 [INFO   ] runner.py:133 [sim_t=00005.570420s] Step finished      step=15
11:24:14 [INFO   ] runner.py:120 [sim_t=00005.570420s] Step starting      step=16
11:24:14 [INFO   ] runner.py:138 [sim_t=00005.570420s] Phase starting     step=16 phase=0 name=fwd_bwd_compute
11:24:14 [INFO   ] runner.py:149 [sim_t=00005.580420s] Phase finished     step=16 phase=0 name=fwd_bwd_compute
11:24:14 [INFO   ] runner.py:138 [sim_t=00005.580420s] Phase starting     step=16 phase=1 name=gradient_sync
11:24:19 [INFO   ] runner.py:149 [sim_t=00005.907804s] Phase finished     step=16 phase=1 name=gradient_sync
