00:39:06 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_003906_895200_5baa.log
00:39:06 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_adaptive_high_failures.yaml
00:39:06 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
00:39:06 [INFO   ] network.py:63 Link failure summary: 21 links marked as failed
00:39:06 [INFO   ] network.py:76 Creating scenario...
00:39:09 [INFO   ] network.py:79 Scenario created.
00:39:09 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
00:39:09 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
00:39:09 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
00:39:09 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
00:39:09 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
00:39:09 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
00:39:09 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
00:39:09 [INFO   ] runner.py:149 [sim_t=00000.001383s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
00:39:09 [INFO   ] runner.py:138 [sim_t=00000.001383s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
00:39:10 [INFO   ] runner.py:149 [sim_t=00000.002616s] Phase finished     step=0 phase=1 name=pp_dp_pp_bwd
00:39:10 [INFO   ] runner.py:138 [sim_t=00000.002616s] Phase starting     step=0 phase=2 name=pp_dp_dp_sync
00:39:12 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
00:39:12 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
00:39:13 [INFO   ] runner.py:149 [sim_t=00000.005241s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
00:39:13 [INFO   ] runner.py:138 [sim_t=00000.005241s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
00:39:13 [INFO   ] runner.py:149 [sim_t=00000.005741s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
00:39:13 [INFO   ] runner.py:138 [sim_t=00000.005741s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
00:39:13 [INFO   ] runner.py:149 [sim_t=00000.005991s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
00:39:13 [INFO   ] runner.py:138 [sim_t=00000.005991s] Phase starting     step=0 phase=4 name=tp_heavy_gap_1
