01:32:24 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_013224_446187_17b2.log
01:32:24 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_ecmp_high.yaml
01:32:24 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
01:32:24 [INFO   ] network.py:76 Creating scenario...
01:32:26 [INFO   ] network.py:79 Scenario created.
01:32:26 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
01:32:26 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
01:32:26 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
01:32:26 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
01:32:26 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
01:32:26 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
01:32:26 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
01:32:27 [INFO   ] runner.py:149 [sim_t=00000.004448s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
01:32:27 [INFO   ] runner.py:138 [sim_t=00000.004448s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
01:32:27 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
01:32:27 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
01:32:27 [INFO   ] runner.py:149 [sim_t=00000.006995s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
01:32:27 [INFO   ] runner.py:138 [sim_t=00000.006995s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
01:32:27 [INFO   ] runner.py:149 [sim_t=00000.007495s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
01:32:27 [INFO   ] runner.py:138 [sim_t=00000.007495s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
01:32:27 [INFO   ] runner.py:149 [sim_t=00000.009489s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
