01:58:54 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_015854_466804_2c96.log
01:58:54 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_ecmp_high_failures.yaml
01:58:54 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
01:58:54 [INFO   ] network.py:63 Link failure summary: 16 links marked as failed
01:58:54 [INFO   ] network.py:76 Creating scenario...
01:58:56 [INFO   ] network.py:79 Scenario created.
01:58:56 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
01:58:56 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
01:58:56 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
01:58:56 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
01:58:56 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
01:58:56 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
01:58:56 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
01:58:57 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
01:58:57 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
01:58:57 [INFO   ] runner.py:149 [sim_t=00000.006012s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
01:58:57 [INFO   ] runner.py:138 [sim_t=00000.006012s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
01:58:57 [INFO   ] runner.py:149 [sim_t=00000.006512s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
01:58:57 [INFO   ] runner.py:138 [sim_t=00000.006512s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
01:58:57 [INFO   ] runner.py:149 [sim_t=00000.006545s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
01:58:57 [INFO   ] runner.py:138 [sim_t=00000.006545s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
01:58:57 [INFO   ] runner.py:149 [sim_t=00000.008465s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
01:58:57 [INFO   ] runner.py:138 [sim_t=00000.008465s] Phase starting     step=0 phase=4 name=tp_heavy_gap_1
01:58:57 [INFO   ] runner.py:149 [sim_t=00000.008965s] Phase finished     step=0 phase=4 name=tp_heavy_gap_1
01:58:57 [INFO   ] runner.py:138 [sim_t=00000.008965s] Phase starting     step=0 phase=5 name=tp_heavy_tp_micro_2
01:58:57 [INFO   ] runner.py:149 [sim_t=00000.010960s] Phase finished     step=0 phase=5 name=tp_heavy_tp_micro_2
01:58:57 [INFO   ] runner.py:138 [sim_t=00000.010960s] Phase starting     step=0 phase=6 name=tp_heavy_gap_2
01:58:57 [INFO   ] runner.py:149 [sim_t=00000.011460s] Phase finished     step=0 phase=6 name=tp_heavy_gap_2
01:58:57 [INFO   ] runner.py:138 [sim_t=00000.011460s] Phase starting     step=0 phase=7 name=tp_heavy_tp_micro_3
01:58:58 [INFO   ] runner.py:149 [sim_t=00000.014430s] Phase finished     step=0 phase=7 name=tp_heavy_tp_micro_3
01:58:58 [INFO   ] runner.py:138 [sim_t=00000.014430s] Phase starting     step=0 phase=8 name=tp_heavy_gap_3
01:58:58 [INFO   ] runner.py:149 [sim_t=00000.014930s] Phase finished     step=0 phase=8 name=tp_heavy_gap_3
01:58:58 [INFO   ] runner.py:138 [sim_t=00000.014930s] Phase starting     step=0 phase=9 name=tp_heavy_tp_micro_4
01:58:58 [INFO   ] runner.py:149 [sim_t=00000.016924s] Phase finished     step=0 phase=9 name=tp_heavy_tp_micro_4
01:58:58 [INFO   ] runner.py:138 [sim_t=00000.016924s] Phase starting     step=0 phase=10 name=tp_heavy_gap_4
01:58:58 [INFO   ] runner.py:149 [sim_t=00000.016928s] Phase finished     step=0 phase=1 name=pp_dp_pp_bwd
01:58:58 [INFO   ] runner.py:138 [sim_t=00000.016928s] Phase starting     step=0 phase=2 name=pp_dp_dp_sync
01:58:59 [INFO   ] runner.py:149 [sim_t=00000.017424s] Phase finished     step=0 phase=10 name=tp_heavy_gap_4
01:58:59 [INFO   ] runner.py:138 [sim_t=00000.017424s] Phase starting     step=0 phase=11 name=tp_heavy_tp_micro_5
01:58:59 [INFO   ] runner.py:149 [sim_t=00000.020389s] Phase finished     step=0 phase=11 name=tp_heavy_tp_micro_5
01:58:59 [INFO   ] runner.py:138 [sim_t=00000.020389s] Phase starting     step=0 phase=12 name=tp_heavy_gap_5
01:58:59 [INFO   ] runner.py:149 [sim_t=00000.020889s] Phase finished     step=0 phase=12 name=tp_heavy_gap_5
01:58:59 [INFO   ] runner.py:138 [sim_t=00000.020889s] Phase starting     step=0 phase=13 name=tp_heavy_tp_micro_6
01:59:00 [INFO   ] runner.py:149 [sim_t=00000.023895s] Phase finished     step=0 phase=13 name=tp_heavy_tp_micro_6
01:59:00 [INFO   ] runner.py:138 [sim_t=00000.023895s] Phase starting     step=0 phase=14 name=tp_heavy_gap_6
01:59:00 [INFO   ] runner.py:149 [sim_t=00000.024395s] Phase finished     step=0 phase=14 name=tp_heavy_gap_6
01:59:00 [INFO   ] runner.py:138 [sim_t=00000.024395s] Phase starting     step=0 phase=15 name=tp_heavy_tp_micro_7
01:59:00 [INFO   ] runner.py:149 [sim_t=00000.026386s] Phase finished     step=0 phase=15 name=tp_heavy_tp_micro_7
01:59:00 [INFO   ] runner.py:138 [sim_t=00000.026386s] Phase starting     step=0 phase=16 name=tp_heavy_gap_7
01:59:00 [INFO   ] runner.py:149 [sim_t=00000.026886s] Phase finished     step=0 phase=16 name=tp_heavy_gap_7
01:59:00 [INFO   ] runner.py:138 [sim_t=00000.026886s] Phase starting     step=0 phase=17 name=tp_heavy_tp_micro_8
01:59:01 [INFO   ] runner.py:149 [sim_t=00000.034340s] Phase finished     step=0 phase=17 name=tp_heavy_tp_micro_8
01:59:01 [INFO   ] runner.py:138 [sim_t=00000.034340s] Phase starting     step=0 phase=18 name=tp_heavy_gap_8
01:59:01 [INFO   ] runner.py:149 [sim_t=00000.034840s] Phase finished     step=0 phase=18 name=tp_heavy_gap_8
01:59:01 [INFO   ] runner.py:138 [sim_t=00000.034840s] Phase starting     step=0 phase=19 name=tp_heavy_tp_micro_9
01:59:01 [INFO   ] runner.py:149 [sim_t=00000.036835s] Phase finished     step=0 phase=19 name=tp_heavy_tp_micro_9
01:59:01 [INFO   ] runner.py:138 [sim_t=00000.036835s] Phase starting     step=0 phase=20 name=tp_heavy_gap_9
01:59:01 [INFO   ] runner.py:149 [sim_t=00000.037335s] Phase finished     step=0 phase=20 name=tp_heavy_gap_9
01:59:01 [INFO   ] runner.py:138 [sim_t=00000.037335s] Phase starting     step=0 phase=21 name=tp_heavy_tp_micro_10
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.050028s] Phase finished     step=0 phase=21 name=tp_heavy_tp_micro_10
01:59:03 [INFO   ] runner.py:138 [sim_t=00000.050028s] Phase starting     step=0 phase=22 name=tp_heavy_gap_10
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.050528s] Phase finished     step=0 phase=22 name=tp_heavy_gap_10
01:59:03 [INFO   ] runner.py:138 [sim_t=00000.050528s] Phase starting     step=0 phase=23 name=tp_heavy_tp_micro_11
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.051540s] Phase finished     step=0 phase=23 name=tp_heavy_tp_micro_11
01:59:03 [INFO   ] runner.py:138 [sim_t=00000.051540s] Phase starting     step=0 phase=24 name=tp_heavy_gap_11
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.052040s] Phase finished     step=0 phase=24 name=tp_heavy_gap_11
01:59:03 [INFO   ] runner.py:138 [sim_t=00000.052040s] Phase starting     step=0 phase=25 name=tp_heavy_tp_micro_12
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.054034s] Phase finished     step=0 phase=25 name=tp_heavy_tp_micro_12
01:59:03 [INFO   ] runner.py:138 [sim_t=00000.054034s] Phase starting     step=0 phase=26 name=tp_heavy_gap_12
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.054534s] Phase finished     step=0 phase=26 name=tp_heavy_gap_12
01:59:03 [INFO   ] runner.py:138 [sim_t=00000.054534s] Phase starting     step=0 phase=27 name=tp_heavy_tp_micro_13
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.080854s] Phase finished     step=0 phase=27 name=tp_heavy_tp_micro_13
01:59:03 [INFO   ] runner.py:138 [sim_t=00000.080854s] Phase starting     step=0 phase=28 name=tp_heavy_gap_13
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.080854s] Phase finished     step=0 phase=2 name=pp_dp_dp_sync
01:59:03 [INFO   ] runner.py:138 [sim_t=00000.080854s] Phase starting     step=0 phase=3 name=pp_dp_compute_tail
01:59:03 [INFO   ] runner.py:149 [sim_t=00000.081354s] Phase finished     step=0 phase=28 name=tp_heavy_gap_13
