02:31:55 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_023155_681313_2872.log
02:31:55 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_ecmp_mid.yaml
02:31:55 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
02:31:55 [INFO   ] network.py:76 Creating scenario...
02:31:57 [INFO   ] network.py:79 Scenario created.
02:31:57 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
02:31:57 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
02:31:57 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
02:31:57 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
02:31:57 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
02:31:57 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
02:31:57 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
02:31:58 [INFO   ] runner.py:149 [sim_t=00000.002351s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
02:31:58 [INFO   ] runner.py:138 [sim_t=00000.002351s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
02:31:58 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
02:31:58 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
02:31:58 [INFO   ] runner.py:149 [sim_t=00000.006012s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
02:31:58 [INFO   ] runner.py:138 [sim_t=00000.006012s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
02:31:58 [INFO   ] runner.py:149 [sim_t=00000.006512s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
02:31:58 [INFO   ] runner.py:138 [sim_t=00000.006512s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
02:31:58 [INFO   ] runner.py:149 [sim_t=00000.007032s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
02:31:58 [INFO   ] runner.py:138 [sim_t=00000.007032s] Phase starting     step=0 phase=4 name=tp_heavy_gap_1
02:31:58 [INFO   ] runner.py:149 [sim_t=00000.007065s] Phase finished     step=0 phase=1 name=pp_dp_pp_bwd
02:31:58 [INFO   ] runner.py:138 [sim_t=00000.007065s] Phase starting     step=0 phase=2 name=pp_dp_dp_sync
02:31:59 [INFO   ] runner.py:149 [sim_t=00000.007532s] Phase finished     step=0 phase=4 name=tp_heavy_gap_1
02:31:59 [INFO   ] runner.py:138 [sim_t=00000.007532s] Phase starting     step=0 phase=5 name=tp_heavy_tp_micro_2
02:31:59 [INFO   ] runner.py:149 [sim_t=00000.009019s] Phase finished     step=0 phase=5 name=tp_heavy_tp_micro_2
02:31:59 [INFO   ] runner.py:138 [sim_t=00000.009019s] Phase starting     step=0 phase=6 name=tp_heavy_gap_2
02:31:59 [INFO   ] runner.py:149 [sim_t=00000.009519s] Phase finished     step=0 phase=6 name=tp_heavy_gap_2
02:31:59 [INFO   ] runner.py:138 [sim_t=00000.009519s] Phase starting     step=0 phase=7 name=tp_heavy_tp_micro_3
02:31:59 [INFO   ] runner.py:149 [sim_t=00000.011009s] Phase finished     step=0 phase=7 name=tp_heavy_tp_micro_3
02:31:59 [INFO   ] runner.py:138 [sim_t=00000.011009s] Phase starting     step=0 phase=8 name=tp_heavy_gap_3
02:31:59 [INFO   ] runner.py:149 [sim_t=00000.011509s] Phase finished     step=0 phase=8 name=tp_heavy_gap_3
02:31:59 [INFO   ] runner.py:138 [sim_t=00000.011509s] Phase starting     step=0 phase=9 name=tp_heavy_tp_micro_4
02:31:59 [INFO   ] runner.py:149 [sim_t=00000.012521s] Phase finished     step=0 phase=9 name=tp_heavy_tp_micro_4
02:31:59 [INFO   ] runner.py:138 [sim_t=00000.012521s] Phase starting     step=0 phase=10 name=tp_heavy_gap_4
02:31:59 [INFO   ] runner.py:149 [sim_t=00000.013021s] Phase finished     step=0 phase=10 name=tp_heavy_gap_4
02:31:59 [INFO   ] runner.py:138 [sim_t=00000.013021s] Phase starting     step=0 phase=11 name=tp_heavy_tp_micro_5
02:32:00 [INFO   ] runner.py:149 [sim_t=00000.014516s] Phase finished     step=0 phase=11 name=tp_heavy_tp_micro_5
02:32:00 [INFO   ] runner.py:138 [sim_t=00000.014516s] Phase starting     step=0 phase=12 name=tp_heavy_gap_5
02:32:00 [INFO   ] runner.py:149 [sim_t=00000.015016s] Phase finished     step=0 phase=12 name=tp_heavy_gap_5
02:32:00 [INFO   ] runner.py:138 [sim_t=00000.015016s] Phase starting     step=0 phase=13 name=tp_heavy_tp_micro_6
02:32:00 [INFO   ] runner.py:149 [sim_t=00000.016515s] Phase finished     step=0 phase=13 name=tp_heavy_tp_micro_6
02:32:00 [INFO   ] runner.py:138 [sim_t=00000.016515s] Phase starting     step=0 phase=14 name=tp_heavy_gap_6
02:32:00 [INFO   ] runner.py:149 [sim_t=00000.017015s] Phase finished     step=0 phase=14 name=tp_heavy_gap_6
02:32:00 [INFO   ] runner.py:138 [sim_t=00000.017015s] Phase starting     step=0 phase=15 name=tp_heavy_tp_micro_7
02:32:00 [INFO   ] runner.py:149 [sim_t=00000.018022s] Phase finished     step=0 phase=15 name=tp_heavy_tp_micro_7
02:32:00 [INFO   ] runner.py:138 [sim_t=00000.018022s] Phase starting     step=0 phase=16 name=tp_heavy_gap_7
02:32:00 [INFO   ] runner.py:149 [sim_t=00000.018522s] Phase finished     step=0 phase=16 name=tp_heavy_gap_7
02:32:00 [INFO   ] runner.py:138 [sim_t=00000.018522s] Phase starting     step=0 phase=17 name=tp_heavy_tp_micro_8
02:32:00 [INFO   ] runner.py:149 [sim_t=00000.020021s] Phase finished     step=0 phase=17 name=tp_heavy_tp_micro_8
02:32:00 [INFO   ] runner.py:138 [sim_t=00000.020021s] Phase starting     step=0 phase=18 name=tp_heavy_gap_8
02:32:00 [INFO   ] runner.py:149 [sim_t=00000.020521s] Phase finished     step=0 phase=18 name=tp_heavy_gap_8
02:32:00 [INFO   ] runner.py:138 [sim_t=00000.020521s] Phase starting     step=0 phase=19 name=tp_heavy_tp_micro_9
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.021528s] Phase finished     step=0 phase=19 name=tp_heavy_tp_micro_9
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.021528s] Phase starting     step=0 phase=20 name=tp_heavy_gap_9
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.022028s] Phase finished     step=0 phase=20 name=tp_heavy_gap_9
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.022028s] Phase starting     step=0 phase=21 name=tp_heavy_tp_micro_10
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.024018s] Phase finished     step=0 phase=21 name=tp_heavy_tp_micro_10
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.024018s] Phase starting     step=0 phase=22 name=tp_heavy_gap_10
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.024518s] Phase finished     step=0 phase=22 name=tp_heavy_gap_10
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.024518s] Phase starting     step=0 phase=23 name=tp_heavy_tp_micro_11
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.025530s] Phase finished     step=0 phase=23 name=tp_heavy_tp_micro_11
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.025530s] Phase starting     step=0 phase=24 name=tp_heavy_gap_11
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.026030s] Phase finished     step=0 phase=24 name=tp_heavy_gap_11
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.026030s] Phase starting     step=0 phase=25 name=tp_heavy_tp_micro_12
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.026550s] Phase finished     step=0 phase=25 name=tp_heavy_tp_micro_12
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.026550s] Phase starting     step=0 phase=26 name=tp_heavy_gap_12
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.027050s] Phase finished     step=0 phase=26 name=tp_heavy_gap_12
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.027050s] Phase starting     step=0 phase=27 name=tp_heavy_tp_micro_13
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.027570s] Phase finished     step=0 phase=27 name=tp_heavy_tp_micro_13
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.027570s] Phase starting     step=0 phase=28 name=tp_heavy_gap_13
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.028070s] Phase finished     step=0 phase=28 name=tp_heavy_gap_13
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.028070s] Phase starting     step=0 phase=29 name=tp_heavy_tp_micro_14
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.029081s] Phase finished     step=0 phase=29 name=tp_heavy_tp_micro_14
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.029081s] Phase starting     step=0 phase=30 name=tp_heavy_gap_14
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.029581s] Phase finished     step=0 phase=30 name=tp_heavy_gap_14
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.029581s] Phase starting     step=0 phase=31 name=tp_heavy_tp_micro_15
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.030101s] Phase finished     step=0 phase=31 name=tp_heavy_tp_micro_15
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.030101s] Phase starting     step=0 phase=32 name=tp_heavy_gap_15
02:32:01 [INFO   ] runner.py:149 [sim_t=00000.030601s] Phase finished     step=0 phase=32 name=tp_heavy_gap_15
02:32:01 [INFO   ] runner.py:138 [sim_t=00000.030601s] Phase starting     step=0 phase=33 name=tp_heavy_dp_sync
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.046366s] Phase finished     step=0 phase=33 name=tp_heavy_dp_sync
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.046366s] Phase starting     step=0 phase=34 name=tp_heavy_compute_tail
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.046907s] Phase finished     step=0 phase=2 name=pp_dp_dp_sync
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.046907s] Phase starting     step=0 phase=3 name=pp_dp_compute_tail
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.048366s] Phase finished     step=0 phase=34 name=tp_heavy_compute_tail
02:32:03 [INFO   ] runner.py:133 [sim_t=00000.048366s] Step finished      step=0
02:32:03 [INFO   ] runner.py:120 [sim_t=00000.048366s] Step starting      step=1
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.048366s] Phase starting     step=1 phase=0 name=tp_heavy_compute_front
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.049907s] Phase finished     step=0 phase=3 name=pp_dp_compute_tail
02:32:03 [INFO   ] runner.py:133 [sim_t=00000.049907s] Step finished      step=0
02:32:03 [INFO   ] runner.py:120 [sim_t=00000.049907s] Step starting      step=1
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.049907s] Phase starting     step=1 phase=0 name=pp_dp_pp_fwd
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.053366s] Phase finished     step=1 phase=0 name=tp_heavy_compute_front
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.053366s] Phase starting     step=1 phase=1 name=tp_heavy_tp_micro_0
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.054378s] Phase finished     step=1 phase=1 name=tp_heavy_tp_micro_0
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.054378s] Phase starting     step=1 phase=2 name=tp_heavy_gap_0
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.054621s] Phase finished     step=1 phase=0 name=pp_dp_pp_fwd
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.054621s] Phase starting     step=1 phase=1 name=pp_dp_pp_bwd
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.054878s] Phase finished     step=1 phase=2 name=tp_heavy_gap_0
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.054878s] Phase starting     step=1 phase=3 name=tp_heavy_tp_micro_1
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.055887s] Phase finished     step=1 phase=3 name=tp_heavy_tp_micro_1
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.055887s] Phase starting     step=1 phase=4 name=tp_heavy_gap_1
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.056387s] Phase finished     step=1 phase=4 name=tp_heavy_gap_1
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.056387s] Phase starting     step=1 phase=5 name=tp_heavy_tp_micro_2
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.056907s] Phase finished     step=1 phase=5 name=tp_heavy_tp_micro_2
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.056907s] Phase starting     step=1 phase=6 name=tp_heavy_gap_2
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.057407s] Phase finished     step=1 phase=6 name=tp_heavy_gap_2
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.057407s] Phase starting     step=1 phase=7 name=tp_heavy_tp_micro_3
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.058418s] Phase finished     step=1 phase=7 name=tp_heavy_tp_micro_3
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.058418s] Phase starting     step=1 phase=8 name=tp_heavy_gap_3
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.058918s] Phase finished     step=1 phase=8 name=tp_heavy_gap_3
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.058918s] Phase starting     step=1 phase=9 name=tp_heavy_tp_micro_4
02:32:03 [INFO   ] runner.py:149 [sim_t=00000.059336s] Phase finished     step=1 phase=1 name=pp_dp_pp_bwd
02:32:03 [INFO   ] runner.py:138 [sim_t=00000.059336s] Phase starting     step=1 phase=2 name=pp_dp_dp_sync
02:32:04 [INFO   ] runner.py:149 [sim_t=00000.059930s] Phase finished     step=1 phase=9 name=tp_heavy_tp_micro_4
02:32:04 [INFO   ] runner.py:138 [sim_t=00000.059930s] Phase starting     step=1 phase=10 name=tp_heavy_gap_4
