03:12:18 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_031218_539746_740b.log
03:12:18 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_flowlet_high_failures.yaml
03:12:18 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
03:12:18 [INFO   ] network.py:63 Link failure summary: 30 links marked as failed
03:12:18 [INFO   ] network.py:76 Creating scenario...
03:12:20 [INFO   ] network.py:79 Scenario created.
03:12:20 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
03:12:20 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
03:12:20 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
03:12:20 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
03:12:20 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
03:12:20 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
03:12:20 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
03:12:21 [INFO   ] runner.py:149 [sim_t=00000.003316s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
03:12:21 [INFO   ] runner.py:138 [sim_t=00000.003316s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
03:12:21 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
03:12:21 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
03:12:21 [INFO   ] runner.py:149 [sim_t=00000.006487s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
03:12:21 [INFO   ] runner.py:138 [sim_t=00000.006487s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
