03:45:59 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_034559_628014_39c3.log
03:45:59 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_flowlet_mid.yaml
03:45:59 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
03:45:59 [INFO   ] network.py:76 Creating scenario...
03:46:01 [INFO   ] network.py:79 Scenario created.
03:46:01 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
03:46:01 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
03:46:01 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
03:46:01 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
03:46:01 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
03:46:01 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
03:46:01 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
03:46:02 [INFO   ] runner.py:149 [sim_t=00000.002343s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
03:46:02 [INFO   ] runner.py:138 [sim_t=00000.002343s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
03:46:02 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
03:46:02 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
03:46:02 [INFO   ] runner.py:149 [sim_t=00000.006008s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
03:46:02 [INFO   ] runner.py:138 [sim_t=00000.006008s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
03:46:02 [INFO   ] runner.py:149 [sim_t=00000.006508s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
03:46:02 [INFO   ] runner.py:138 [sim_t=00000.006508s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
03:46:02 [INFO   ] runner.py:149 [sim_t=00000.007028s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
03:46:02 [INFO   ] runner.py:138 [sim_t=00000.007028s] Phase starting     step=0 phase=4 name=tp_heavy_gap_1
03:46:02 [INFO   ] runner.py:149 [sim_t=00000.007057s] Phase finished     step=0 phase=1 name=pp_dp_pp_bwd
03:46:02 [INFO   ] runner.py:138 [sim_t=00000.007057s] Phase starting     step=0 phase=2 name=pp_dp_dp_sync
03:46:03 [INFO   ] runner.py:149 [sim_t=00000.007528s] Phase finished     step=0 phase=4 name=tp_heavy_gap_1
03:46:03 [INFO   ] runner.py:138 [sim_t=00000.007528s] Phase starting     step=0 phase=5 name=tp_heavy_tp_micro_2
03:46:03 [INFO   ] runner.py:149 [sim_t=00000.009027s] Phase finished     step=0 phase=5 name=tp_heavy_tp_micro_2
03:46:03 [INFO   ] runner.py:138 [sim_t=00000.009027s] Phase starting     step=0 phase=6 name=tp_heavy_gap_2
03:46:03 [INFO   ] runner.py:149 [sim_t=00000.009527s] Phase finished     step=0 phase=6 name=tp_heavy_gap_2
03:46:03 [INFO   ] runner.py:138 [sim_t=00000.009527s] Phase starting     step=0 phase=7 name=tp_heavy_tp_micro_3
03:46:03 [INFO   ] runner.py:149 [sim_t=00000.010539s] Phase finished     step=0 phase=7 name=tp_heavy_tp_micro_3
03:46:03 [INFO   ] runner.py:138 [sim_t=00000.010539s] Phase starting     step=0 phase=8 name=tp_heavy_gap_3
03:46:03 [INFO   ] runner.py:149 [sim_t=00000.011039s] Phase finished     step=0 phase=8 name=tp_heavy_gap_3
03:46:03 [INFO   ] runner.py:138 [sim_t=00000.011039s] Phase starting     step=0 phase=9 name=tp_heavy_tp_micro_4
03:46:04 [INFO   ] runner.py:149 [sim_t=00000.012255s] Phase finished     step=0 phase=9 name=tp_heavy_tp_micro_4
03:46:04 [INFO   ] runner.py:138 [sim_t=00000.012255s] Phase starting     step=0 phase=10 name=tp_heavy_gap_4
03:46:04 [INFO   ] runner.py:149 [sim_t=00000.012755s] Phase finished     step=0 phase=10 name=tp_heavy_gap_4
03:46:04 [INFO   ] runner.py:138 [sim_t=00000.012755s] Phase starting     step=0 phase=11 name=tp_heavy_tp_micro_5
03:46:04 [INFO   ] runner.py:149 [sim_t=00000.013283s] Phase finished     step=0 phase=11 name=tp_heavy_tp_micro_5
03:46:04 [INFO   ] runner.py:138 [sim_t=00000.013283s] Phase starting     step=0 phase=12 name=tp_heavy_gap_5
03:46:04 [INFO   ] runner.py:149 [sim_t=00000.013783s] Phase finished     step=0 phase=12 name=tp_heavy_gap_5
03:46:04 [INFO   ] runner.py:138 [sim_t=00000.013783s] Phase starting     step=0 phase=13 name=tp_heavy_tp_micro_6
03:46:04 [INFO   ] runner.py:149 [sim_t=00000.015286s] Phase finished     step=0 phase=13 name=tp_heavy_tp_micro_6
03:46:04 [INFO   ] runner.py:138 [sim_t=00000.015286s] Phase starting     step=0 phase=14 name=tp_heavy_gap_6
03:46:04 [INFO   ] runner.py:149 [sim_t=00000.015786s] Phase finished     step=0 phase=14 name=tp_heavy_gap_6
03:46:04 [INFO   ] runner.py:138 [sim_t=00000.015786s] Phase starting     step=0 phase=15 name=tp_heavy_tp_micro_7
03:46:04 [INFO   ] runner.py:149 [sim_t=00000.016818s] Phase finished     step=0 phase=15 name=tp_heavy_tp_micro_7
03:46:04 [INFO   ] runner.py:138 [sim_t=00000.016818s] Phase starting     step=0 phase=16 name=tp_heavy_gap_7
03:46:04 [INFO   ] runner.py:149 [sim_t=00000.017318s] Phase finished     step=0 phase=16 name=tp_heavy_gap_7
03:46:04 [INFO   ] runner.py:138 [sim_t=00000.017318s] Phase starting     step=0 phase=17 name=tp_heavy_tp_micro_8
03:46:05 [INFO   ] runner.py:149 [sim_t=00000.017838s] Phase finished     step=0 phase=17 name=tp_heavy_tp_micro_8
03:46:05 [INFO   ] runner.py:138 [sim_t=00000.017838s] Phase starting     step=0 phase=18 name=tp_heavy_gap_8
03:46:05 [INFO   ] runner.py:149 [sim_t=00000.018338s] Phase finished     step=0 phase=18 name=tp_heavy_gap_8
03:46:05 [INFO   ] runner.py:138 [sim_t=00000.018338s] Phase starting     step=0 phase=19 name=tp_heavy_tp_micro_9
03:46:05 [INFO   ] runner.py:149 [sim_t=00000.018858s] Phase finished     step=0 phase=19 name=tp_heavy_tp_micro_9
03:46:05 [INFO   ] runner.py:138 [sim_t=00000.018858s] Phase starting     step=0 phase=20 name=tp_heavy_gap_9
03:46:05 [INFO   ] runner.py:149 [sim_t=00000.019358s] Phase finished     step=0 phase=20 name=tp_heavy_gap_9
03:46:05 [INFO   ] runner.py:138 [sim_t=00000.019358s] Phase starting     step=0 phase=21 name=tp_heavy_tp_micro_10
03:46:05 [INFO   ] runner.py:149 [sim_t=00000.020856s] Phase finished     step=0 phase=21 name=tp_heavy_tp_micro_10
03:46:05 [INFO   ] runner.py:138 [sim_t=00000.020856s] Phase starting     step=0 phase=22 name=tp_heavy_gap_10
03:46:05 [INFO   ] runner.py:149 [sim_t=00000.021356s] Phase finished     step=0 phase=22 name=tp_heavy_gap_10
03:46:05 [INFO   ] runner.py:138 [sim_t=00000.021356s] Phase starting     step=0 phase=23 name=tp_heavy_tp_micro_11
03:46:05 [INFO   ] runner.py:149 [sim_t=00000.022364s] Phase finished     step=0 phase=23 name=tp_heavy_tp_micro_11
03:46:05 [INFO   ] runner.py:138 [sim_t=00000.022364s] Phase starting     step=0 phase=24 name=tp_heavy_gap_11
