00:05:45 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_000545_076190_59b7.log
00:05:45 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_adaptive_high.yaml
00:05:45 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
00:05:45 [INFO   ] network.py:76 Creating scenario...
00:05:47 [INFO   ] network.py:79 Scenario created.
00:05:47 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
00:05:47 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
00:05:47 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
00:05:47 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
00:05:47 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
00:05:47 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
00:05:47 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
00:05:47 [INFO   ] runner.py:149 [sim_t=00000.001244s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
00:05:47 [INFO   ] runner.py:138 [sim_t=00000.001244s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
00:05:48 [INFO   ] runner.py:149 [sim_t=00000.002329s] Phase finished     step=0 phase=1 name=pp_dp_pp_bwd
00:05:48 [INFO   ] runner.py:138 [sim_t=00000.002329s] Phase starting     step=0 phase=2 name=pp_dp_dp_sync
00:05:50 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
00:05:50 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
00:05:51 [INFO   ] runner.py:149 [sim_t=00000.005184s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
00:05:51 [INFO   ] runner.py:138 [sim_t=00000.005184s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
00:05:51 [INFO   ] runner.py:149 [sim_t=00000.005684s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
00:05:51 [INFO   ] runner.py:138 [sim_t=00000.005684s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
00:05:51 [INFO   ] runner.py:149 [sim_t=00000.005872s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
00:05:51 [INFO   ] runner.py:138 [sim_t=00000.005872s] Phase starting     step=0 phase=4 name=tp_heavy_gap_1
00:05:51 [INFO   ] runner.py:149 [sim_t=00000.006372s] Phase finished     step=0 phase=4 name=tp_heavy_gap_1
00:05:51 [INFO   ] runner.py:138 [sim_t=00000.006372s] Phase starting     step=0 phase=5 name=tp_heavy_tp_micro_2
00:05:52 [INFO   ] runner.py:149 [sim_t=00000.006560s] Phase finished     step=0 phase=5 name=tp_heavy_tp_micro_2
00:05:52 [INFO   ] runner.py:138 [sim_t=00000.006560s] Phase starting     step=0 phase=6 name=tp_heavy_gap_2
00:05:52 [INFO   ] runner.py:149 [sim_t=00000.007060s] Phase finished     step=0 phase=6 name=tp_heavy_gap_2
00:05:52 [INFO   ] runner.py:138 [sim_t=00000.007060s] Phase starting     step=0 phase=7 name=tp_heavy_tp_micro_3
00:05:52 [INFO   ] runner.py:149 [sim_t=00000.007244s] Phase finished     step=0 phase=7 name=tp_heavy_tp_micro_3
00:05:52 [INFO   ] runner.py:138 [sim_t=00000.007244s] Phase starting     step=0 phase=8 name=tp_heavy_gap_3
00:05:53 [INFO   ] runner.py:149 [sim_t=00000.007744s] Phase finished     step=0 phase=8 name=tp_heavy_gap_3
00:05:53 [INFO   ] runner.py:138 [sim_t=00000.007744s] Phase starting     step=0 phase=9 name=tp_heavy_tp_micro_4
00:05:53 [INFO   ] runner.py:149 [sim_t=00000.007928s] Phase finished     step=0 phase=9 name=tp_heavy_tp_micro_4
00:05:53 [INFO   ] runner.py:138 [sim_t=00000.007928s] Phase starting     step=0 phase=10 name=tp_heavy_gap_4
00:05:53 [INFO   ] runner.py:149 [sim_t=00000.008428s] Phase finished     step=0 phase=10 name=tp_heavy_gap_4
00:05:53 [INFO   ] runner.py:138 [sim_t=00000.008428s] Phase starting     step=0 phase=11 name=tp_heavy_tp_micro_5
00:05:54 [INFO   ] runner.py:149 [sim_t=00000.008613s] Phase finished     step=0 phase=11 name=tp_heavy_tp_micro_5
00:05:54 [INFO   ] runner.py:138 [sim_t=00000.008613s] Phase starting     step=0 phase=12 name=tp_heavy_gap_5
00:05:54 [INFO   ] runner.py:149 [sim_t=00000.009113s] Phase finished     step=0 phase=12 name=tp_heavy_gap_5
00:05:54 [INFO   ] runner.py:138 [sim_t=00000.009113s] Phase starting     step=0 phase=13 name=tp_heavy_tp_micro_6
00:05:54 [INFO   ] runner.py:149 [sim_t=00000.009305s] Phase finished     step=0 phase=13 name=tp_heavy_tp_micro_6
00:05:54 [INFO   ] runner.py:138 [sim_t=00000.009305s] Phase starting     step=0 phase=14 name=tp_heavy_gap_6
00:05:55 [INFO   ] runner.py:149 [sim_t=00000.009805s] Phase finished     step=0 phase=14 name=tp_heavy_gap_6
00:05:55 [INFO   ] runner.py:138 [sim_t=00000.009805s] Phase starting     step=0 phase=15 name=tp_heavy_tp_micro_7
00:05:55 [INFO   ] runner.py:149 [sim_t=00000.009989s] Phase finished     step=0 phase=15 name=tp_heavy_tp_micro_7
00:05:55 [INFO   ] runner.py:138 [sim_t=00000.009989s] Phase starting     step=0 phase=16 name=tp_heavy_gap_7
00:05:55 [INFO   ] runner.py:149 [sim_t=00000.010255s] Phase finished     step=0 phase=2 name=pp_dp_dp_sync
00:05:55 [INFO   ] runner.py:138 [sim_t=00000.010255s] Phase starting     step=0 phase=3 name=pp_dp_compute_tail
00:05:55 [INFO   ] runner.py:149 [sim_t=00000.010489s] Phase finished     step=0 phase=16 name=tp_heavy_gap_7
00:05:55 [INFO   ] runner.py:138 [sim_t=00000.010489s] Phase starting     step=0 phase=17 name=tp_heavy_tp_micro_8
00:05:55 [INFO   ] runner.py:149 [sim_t=00000.010641s] Phase finished     step=0 phase=17 name=tp_heavy_tp_micro_8
00:05:55 [INFO   ] runner.py:138 [sim_t=00000.010641s] Phase starting     step=0 phase=18 name=tp_heavy_gap_8
00:05:55 [INFO   ] runner.py:149 [sim_t=00000.011141s] Phase finished     step=0 phase=18 name=tp_heavy_gap_8
00:05:55 [INFO   ] runner.py:138 [sim_t=00000.011141s] Phase starting     step=0 phase=19 name=tp_heavy_tp_micro_9
00:05:56 [INFO   ] runner.py:149 [sim_t=00000.011292s] Phase finished     step=0 phase=19 name=tp_heavy_tp_micro_9
00:05:56 [INFO   ] runner.py:138 [sim_t=00000.011292s] Phase starting     step=0 phase=20 name=tp_heavy_gap_9
00:05:56 [INFO   ] runner.py:149 [sim_t=00000.011792s] Phase finished     step=0 phase=20 name=tp_heavy_gap_9
00:05:56 [INFO   ] runner.py:138 [sim_t=00000.011792s] Phase starting     step=0 phase=21 name=tp_heavy_tp_micro_10
00:05:56 [INFO   ] runner.py:149 [sim_t=00000.011952s] Phase finished     step=0 phase=21 name=tp_heavy_tp_micro_10
00:05:56 [INFO   ] runner.py:138 [sim_t=00000.011952s] Phase starting     step=0 phase=22 name=tp_heavy_gap_10
00:05:56 [INFO   ] runner.py:149 [sim_t=00000.012452s] Phase finished     step=0 phase=22 name=tp_heavy_gap_10
