01:09:30 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_010930_474998_6002.log
01:09:30 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_adaptive_low.yaml
01:09:30 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
01:09:30 [INFO   ] network.py:76 Creating scenario...
01:09:32 [INFO   ] network.py:79 Scenario created.
01:09:32 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
01:09:32 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
01:09:32 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
01:09:32 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
01:09:32 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
01:09:32 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
01:09:32 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
01:09:32 [INFO   ] runner.py:149 [sim_t=00000.000469s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
01:09:32 [INFO   ] runner.py:138 [sim_t=00000.000469s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
01:09:33 [INFO   ] runner.py:149 [sim_t=00000.000760s] Phase finished     step=0 phase=1 name=pp_dp_pp_bwd
01:09:33 [INFO   ] runner.py:138 [sim_t=00000.000760s] Phase starting     step=0 phase=2 name=pp_dp_dp_sync
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.002763s] Phase finished     step=0 phase=2 name=pp_dp_dp_sync
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.002763s] Phase starting     step=0 phase=3 name=pp_dp_compute_tail
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.005070s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.005070s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.005570s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.005570s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.005631s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.005631s] Phase starting     step=0 phase=4 name=tp_heavy_gap_1
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.005763s] Phase finished     step=0 phase=3 name=pp_dp_compute_tail
01:09:34 [INFO   ] runner.py:133 [sim_t=00000.005763s] Step finished      step=0
01:09:34 [INFO   ] runner.py:120 [sim_t=00000.005763s] Step starting      step=1
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.005763s] Phase starting     step=1 phase=0 name=pp_dp_pp_fwd
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.006062s] Phase finished     step=1 phase=0 name=pp_dp_pp_fwd
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.006062s] Phase starting     step=1 phase=1 name=pp_dp_pp_bwd
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.006131s] Phase finished     step=0 phase=4 name=tp_heavy_gap_1
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.006131s] Phase starting     step=0 phase=5 name=tp_heavy_tp_micro_2
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.006217s] Phase finished     step=0 phase=5 name=tp_heavy_tp_micro_2
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.006217s] Phase starting     step=0 phase=6 name=tp_heavy_gap_2
01:09:34 [INFO   ] runner.py:149 [sim_t=00000.006369s] Phase finished     step=1 phase=1 name=pp_dp_pp_bwd
01:09:34 [INFO   ] runner.py:138 [sim_t=00000.006369s] Phase starting     step=1 phase=2 name=pp_dp_dp_sync
01:09:35 [INFO   ] runner.py:149 [sim_t=00000.006717s] Phase finished     step=0 phase=6 name=tp_heavy_gap_2
01:09:35 [INFO   ] runner.py:138 [sim_t=00000.006717s] Phase starting     step=0 phase=7 name=tp_heavy_tp_micro_3
01:09:35 [INFO   ] runner.py:149 [sim_t=00000.006799s] Phase finished     step=0 phase=7 name=tp_heavy_tp_micro_3
01:09:35 [INFO   ] runner.py:138 [sim_t=00000.006799s] Phase starting     step=0 phase=8 name=tp_heavy_gap_3
01:09:35 [INFO   ] runner.py:149 [sim_t=00000.007299s] Phase finished     step=0 phase=8 name=tp_heavy_gap_3
01:09:35 [INFO   ] runner.py:138 [sim_t=00000.007299s] Phase starting     step=0 phase=9 name=tp_heavy_tp_micro_4
01:09:35 [INFO   ] runner.py:149 [sim_t=00000.007380s] Phase finished     step=0 phase=9 name=tp_heavy_tp_micro_4
01:09:35 [INFO   ] runner.py:138 [sim_t=00000.007380s] Phase starting     step=0 phase=10 name=tp_heavy_gap_4
01:09:36 [INFO   ] runner.py:149 [sim_t=00000.007880s] Phase finished     step=0 phase=10 name=tp_heavy_gap_4
01:09:36 [INFO   ] runner.py:138 [sim_t=00000.007880s] Phase starting     step=0 phase=11 name=tp_heavy_tp_micro_5
01:09:36 [INFO   ] runner.py:149 [sim_t=00000.007962s] Phase finished     step=0 phase=11 name=tp_heavy_tp_micro_5
01:09:36 [INFO   ] runner.py:138 [sim_t=00000.007962s] Phase starting     step=0 phase=12 name=tp_heavy_gap_5
01:09:36 [INFO   ] runner.py:149 [sim_t=00000.008384s] Phase finished     step=1 phase=2 name=pp_dp_dp_sync
01:09:36 [INFO   ] runner.py:138 [sim_t=00000.008384s] Phase starting     step=1 phase=3 name=pp_dp_compute_tail
01:09:36 [INFO   ] runner.py:149 [sim_t=00000.008462s] Phase finished     step=0 phase=12 name=tp_heavy_gap_5
01:09:36 [INFO   ] runner.py:138 [sim_t=00000.008462s] Phase starting     step=0 phase=13 name=tp_heavy_tp_micro_6
01:09:36 [INFO   ] runner.py:149 [sim_t=00000.008523s] Phase finished     step=0 phase=13 name=tp_heavy_tp_micro_6
01:09:36 [INFO   ] runner.py:138 [sim_t=00000.008523s] Phase starting     step=0 phase=14 name=tp_heavy_gap_6
01:09:36 [INFO   ] runner.py:149 [sim_t=00000.009023s] Phase finished     step=0 phase=14 name=tp_heavy_gap_6
01:09:36 [INFO   ] runner.py:138 [sim_t=00000.009023s] Phase starting     step=0 phase=15 name=tp_heavy_tp_micro_7
01:09:36 [INFO   ] runner.py:149 [sim_t=00000.009085s] Phase finished     step=0 phase=15 name=tp_heavy_tp_micro_7
01:09:36 [INFO   ] runner.py:138 [sim_t=00000.009085s] Phase starting     step=0 phase=16 name=tp_heavy_gap_7
