02:45:17 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_024517_376272_d4dd.log
02:45:17 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_flowlet_high.yaml
02:45:17 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
02:45:17 [INFO   ] network.py:76 Creating scenario...
02:45:19 [INFO   ] network.py:79 Scenario created.
02:45:19 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
02:45:19 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
02:45:19 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
02:45:19 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
02:45:19 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
02:45:19 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
02:45:19 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
02:45:20 [INFO   ] runner.py:149 [sim_t=00000.003316s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
02:45:20 [INFO   ] runner.py:138 [sim_t=00000.003316s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
02:45:20 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
02:45:20 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
02:45:20 [INFO   ] runner.py:149 [sim_t=00000.006490s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
02:45:20 [INFO   ] runner.py:138 [sim_t=00000.006490s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
02:45:20 [INFO   ] runner.py:149 [sim_t=00000.006990s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
02:45:20 [INFO   ] runner.py:138 [sim_t=00000.006990s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
02:45:20 [INFO   ] runner.py:149 [sim_t=00000.008985s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
02:45:20 [INFO   ] runner.py:138 [sim_t=00000.008985s] Phase starting     step=0 phase=4 name=tp_heavy_gap_1
02:45:20 [INFO   ] runner.py:149 [sim_t=00000.009485s] Phase finished     step=0 phase=4 name=tp_heavy_gap_1
02:45:20 [INFO   ] runner.py:138 [sim_t=00000.009485s] Phase starting     step=0 phase=5 name=tp_heavy_tp_micro_2
02:45:20 [INFO   ] runner.py:149 [sim_t=00000.009685s] Phase finished     step=0 phase=1 name=pp_dp_pp_bwd
02:45:20 [INFO   ] runner.py:138 [sim_t=00000.009685s] Phase starting     step=0 phase=2 name=pp_dp_dp_sync
02:45:22 [INFO   ] runner.py:149 [sim_t=00000.011799s] Phase finished     step=0 phase=5 name=tp_heavy_tp_micro_2
02:45:22 [INFO   ] runner.py:138 [sim_t=00000.011799s] Phase starting     step=0 phase=6 name=tp_heavy_gap_2
02:45:22 [INFO   ] runner.py:149 [sim_t=00000.012299s] Phase finished     step=0 phase=6 name=tp_heavy_gap_2
02:45:22 [INFO   ] runner.py:138 [sim_t=00000.012299s] Phase starting     step=0 phase=7 name=tp_heavy_tp_micro_3
02:45:24 [INFO   ] runner.py:149 [sim_t=00000.017889s] Phase finished     step=0 phase=7 name=tp_heavy_tp_micro_3
02:45:24 [INFO   ] runner.py:138 [sim_t=00000.017889s] Phase starting     step=0 phase=8 name=tp_heavy_gap_3
02:45:24 [INFO   ] runner.py:149 [sim_t=00000.018389s] Phase finished     step=0 phase=8 name=tp_heavy_gap_3
02:45:24 [INFO   ] runner.py:138 [sim_t=00000.018389s] Phase starting     step=0 phase=9 name=tp_heavy_tp_micro_4
02:45:25 [INFO   ] runner.py:149 [sim_t=00000.026426s] Phase finished     step=0 phase=9 name=tp_heavy_tp_micro_4
02:45:25 [INFO   ] runner.py:138 [sim_t=00000.026426s] Phase starting     step=0 phase=10 name=tp_heavy_gap_4
02:45:25 [INFO   ] runner.py:149 [sim_t=00000.026926s] Phase finished     step=0 phase=10 name=tp_heavy_gap_4
02:45:25 [INFO   ] runner.py:138 [sim_t=00000.026926s] Phase starting     step=0 phase=11 name=tp_heavy_tp_micro_5
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.034290s] Phase finished     step=0 phase=11 name=tp_heavy_tp_micro_5
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.034290s] Phase starting     step=0 phase=12 name=tp_heavy_gap_5
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.034790s] Phase finished     step=0 phase=12 name=tp_heavy_gap_5
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.034790s] Phase starting     step=0 phase=13 name=tp_heavy_tp_micro_6
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.036785s] Phase finished     step=0 phase=13 name=tp_heavy_tp_micro_6
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.036785s] Phase starting     step=0 phase=14 name=tp_heavy_gap_6
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.037285s] Phase finished     step=0 phase=14 name=tp_heavy_gap_6
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.037285s] Phase starting     step=0 phase=15 name=tp_heavy_tp_micro_7
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.039279s] Phase finished     step=0 phase=15 name=tp_heavy_tp_micro_7
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.039279s] Phase starting     step=0 phase=16 name=tp_heavy_gap_7
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.039779s] Phase finished     step=0 phase=16 name=tp_heavy_gap_7
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.039779s] Phase starting     step=0 phase=17 name=tp_heavy_tp_micro_8
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.041153s] Phase finished     step=0 phase=2 name=pp_dp_dp_sync
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.041153s] Phase starting     step=0 phase=3 name=pp_dp_compute_tail
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.041774s] Phase finished     step=0 phase=17 name=tp_heavy_tp_micro_8
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.041774s] Phase starting     step=0 phase=18 name=tp_heavy_gap_8
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.042274s] Phase finished     step=0 phase=18 name=tp_heavy_gap_8
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.042274s] Phase starting     step=0 phase=19 name=tp_heavy_tp_micro_9
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.044153s] Phase finished     step=0 phase=3 name=pp_dp_compute_tail
02:45:26 [INFO   ] runner.py:133 [sim_t=00000.044153s] Step finished      step=0
02:45:26 [INFO   ] runner.py:120 [sim_t=00000.044153s] Step starting      step=1
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.044153s] Phase starting     step=1 phase=0 name=pp_dp_pp_fwd
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.044268s] Phase finished     step=0 phase=19 name=tp_heavy_tp_micro_9
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.044268s] Phase starting     step=0 phase=20 name=tp_heavy_gap_9
02:45:26 [INFO   ] runner.py:149 [sim_t=00000.044768s] Phase finished     step=0 phase=20 name=tp_heavy_gap_9
02:45:26 [INFO   ] runner.py:138 [sim_t=00000.044768s] Phase starting     step=0 phase=21 name=tp_heavy_tp_micro_10
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.046786s] Phase finished     step=0 phase=21 name=tp_heavy_tp_micro_10
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.046786s] Phase starting     step=0 phase=22 name=tp_heavy_gap_10
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.047286s] Phase finished     step=0 phase=22 name=tp_heavy_gap_10
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.047286s] Phase starting     step=0 phase=23 name=tp_heavy_tp_micro_11
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.048597s] Phase finished     step=1 phase=0 name=pp_dp_pp_fwd
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.048597s] Phase starting     step=1 phase=1 name=pp_dp_pp_bwd
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.048802s] Phase finished     step=0 phase=23 name=tp_heavy_tp_micro_11
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.048802s] Phase starting     step=0 phase=24 name=tp_heavy_gap_11
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.049302s] Phase finished     step=0 phase=24 name=tp_heavy_gap_11
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.049302s] Phase starting     step=0 phase=25 name=tp_heavy_tp_micro_12
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.051706s] Phase finished     step=0 phase=25 name=tp_heavy_tp_micro_12
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.051706s] Phase starting     step=0 phase=26 name=tp_heavy_gap_12
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.052206s] Phase finished     step=0 phase=26 name=tp_heavy_gap_12
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.052206s] Phase starting     step=0 phase=27 name=tp_heavy_tp_micro_13
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.053278s] Phase finished     step=0 phase=27 name=tp_heavy_tp_micro_13
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.053278s] Phase starting     step=0 phase=28 name=tp_heavy_gap_13
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.053778s] Phase finished     step=0 phase=28 name=tp_heavy_gap_13
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.053778s] Phase starting     step=0 phase=29 name=tp_heavy_tp_micro_14
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.054790s] Phase finished     step=0 phase=29 name=tp_heavy_tp_micro_14
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.054790s] Phase starting     step=0 phase=30 name=tp_heavy_gap_14
02:45:27 [INFO   ] runner.py:149 [sim_t=00000.055187s] Phase finished     step=1 phase=1 name=pp_dp_pp_bwd
02:45:27 [INFO   ] runner.py:138 [sim_t=00000.055187s] Phase starting     step=1 phase=2 name=pp_dp_dp_sync
02:45:29 [INFO   ] runner.py:149 [sim_t=00000.055290s] Phase finished     step=0 phase=30 name=tp_heavy_gap_14
02:45:29 [INFO   ] runner.py:138 [sim_t=00000.055290s] Phase starting     step=0 phase=31 name=tp_heavy_tp_micro_15
02:45:29 [INFO   ] runner.py:149 [sim_t=00000.057280s] Phase finished     step=0 phase=31 name=tp_heavy_tp_micro_15
02:45:29 [INFO   ] runner.py:138 [sim_t=00000.057280s] Phase starting     step=0 phase=32 name=tp_heavy_gap_15
02:45:30 [INFO   ] runner.py:149 [sim_t=00000.057780s] Phase finished     step=0 phase=32 name=tp_heavy_gap_15
02:45:30 [INFO   ] runner.py:138 [sim_t=00000.057780s] Phase starting     step=0 phase=33 name=tp_heavy_dp_sync
02:45:35 [INFO   ] runner.py:149 [sim_t=00000.081279s] Phase finished     step=0 phase=33 name=tp_heavy_dp_sync
02:45:35 [INFO   ] runner.py:138 [sim_t=00000.081279s] Phase starting     step=0 phase=34 name=tp_heavy_compute_tail
02:45:35 [INFO   ] runner.py:149 [sim_t=00000.083279s] Phase finished     step=0 phase=34 name=tp_heavy_compute_tail
02:45:35 [INFO   ] runner.py:133 [sim_t=00000.083279s] Step finished      step=0
02:45:35 [INFO   ] runner.py:120 [sim_t=00000.083279s] Step starting      step=1
02:45:35 [INFO   ] runner.py:138 [sim_t=00000.083279s] Phase starting     step=1 phase=0 name=tp_heavy_compute_front
02:45:35 [INFO   ] runner.py:149 [sim_t=00000.086706s] Phase finished     step=1 phase=2 name=pp_dp_dp_sync
02:45:35 [INFO   ] runner.py:138 [sim_t=00000.086706s] Phase starting     step=1 phase=3 name=pp_dp_compute_tail
02:45:35 [INFO   ] runner.py:149 [sim_t=00000.088279s] Phase finished     step=1 phase=0 name=tp_heavy_compute_front
02:45:35 [INFO   ] runner.py:138 [sim_t=00000.088279s] Phase starting     step=1 phase=1 name=tp_heavy_tp_micro_0
02:45:35 [INFO   ] runner.py:149 [sim_t=00000.089706s] Phase finished     step=1 phase=3 name=pp_dp_compute_tail
