03:39:12 [INFO   ] ai_factory_network_simulation.py:253 Logging to console and file: C:\Users\alonz\repos\studies\networks\network_sim\results\logs\ai-factory-su.ai-factory-su-mixed_scenario_20260129_033912_603993_f2a2.log
03:39:12 [INFO   ] ai_factory_network_simulation.py:254 Loaded configuration from: C:\Users\alonz\repos\studies\networks\network_sim\ai_factory_simulation\scenarios\scenarios_configuration\ai_factory_su_mixed_scenario_flowlet_low.yaml
03:39:12 [INFO   ] ai_factory_su_network_simulator.py:246 AI-Factory SU topology created: leaves=8, spines=4, servers=32, links=512
03:39:12 [INFO   ] network.py:76 Creating scenario...
03:39:14 [INFO   ] network.py:79 Scenario created.
03:39:15 [INFO   ] ai_factory_network_simulation.py:262 Starting AI factory simulation
03:39:15 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-tp_heavy id=583227239 participants=16 steps=100
03:39:15 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=tp_heavy_compute_front
03:39:15 [INFO   ] runner.py:101 [sim_t=00000.000000s] Job starting       job=mixed-scenario-pp_dp id=835057466 participants=16 steps=200
03:39:15 [INFO   ] runner.py:120 [sim_t=00000.000000s] Step starting      step=0
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.000000s] Phase starting     step=0 phase=0 name=pp_dp_pp_fwd
03:39:15 [INFO   ] runner.py:149 [sim_t=00000.001294s] Phase finished     step=0 phase=0 name=pp_dp_pp_fwd
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.001294s] Phase starting     step=0 phase=1 name=pp_dp_pp_bwd
03:39:15 [INFO   ] runner.py:149 [sim_t=00000.005000s] Phase finished     step=0 phase=0 name=tp_heavy_compute_front
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.005000s] Phase starting     step=0 phase=1 name=tp_heavy_tp_micro_0
03:39:15 [INFO   ] runner.py:149 [sim_t=00000.005274s] Phase finished     step=0 phase=1 name=tp_heavy_tp_micro_0
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.005274s] Phase starting     step=0 phase=2 name=tp_heavy_gap_0
03:39:15 [INFO   ] runner.py:149 [sim_t=00000.005451s] Phase finished     step=0 phase=1 name=pp_dp_pp_bwd
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.005451s] Phase starting     step=0 phase=2 name=pp_dp_dp_sync
03:39:15 [INFO   ] runner.py:149 [sim_t=00000.005774s] Phase finished     step=0 phase=2 name=tp_heavy_gap_0
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.005774s] Phase starting     step=0 phase=3 name=tp_heavy_tp_micro_1
03:39:15 [INFO   ] runner.py:149 [sim_t=00000.006414s] Phase finished     step=0 phase=3 name=tp_heavy_tp_micro_1
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.006414s] Phase starting     step=0 phase=4 name=tp_heavy_gap_1
03:39:15 [INFO   ] runner.py:149 [sim_t=00000.006914s] Phase finished     step=0 phase=4 name=tp_heavy_gap_1
03:39:15 [INFO   ] runner.py:138 [sim_t=00000.006914s] Phase starting     step=0 phase=5 name=tp_heavy_tp_micro_2
03:39:16 [INFO   ] runner.py:149 [sim_t=00000.009134s] Phase finished     step=0 phase=5 name=tp_heavy_tp_micro_2
03:39:16 [INFO   ] runner.py:138 [sim_t=00000.009134s] Phase starting     step=0 phase=6 name=tp_heavy_gap_2
03:39:16 [INFO   ] runner.py:149 [sim_t=00000.009634s] Phase finished     step=0 phase=6 name=tp_heavy_gap_2
03:39:16 [INFO   ] runner.py:138 [sim_t=00000.009634s] Phase starting     step=0 phase=7 name=tp_heavy_tp_micro_3
03:39:16 [INFO   ] runner.py:149 [sim_t=00000.010387s] Phase finished     step=0 phase=7 name=tp_heavy_tp_micro_3
03:39:16 [INFO   ] runner.py:138 [sim_t=00000.010387s] Phase starting     step=0 phase=8 name=tp_heavy_gap_3
03:39:16 [INFO   ] runner.py:149 [sim_t=00000.010887s] Phase finished     step=0 phase=8 name=tp_heavy_gap_3
03:39:16 [INFO   ] runner.py:138 [sim_t=00000.010887s] Phase starting     step=0 phase=9 name=tp_heavy_tp_micro_4
03:39:16 [INFO   ] runner.py:149 [sim_t=00000.011403s] Phase finished     step=0 phase=9 name=tp_heavy_tp_micro_4
03:39:16 [INFO   ] runner.py:138 [sim_t=00000.011403s] Phase starting     step=0 phase=10 name=tp_heavy_gap_4
03:39:16 [INFO   ] runner.py:149 [sim_t=00000.011903s] Phase finished     step=0 phase=10 name=tp_heavy_gap_4
03:39:16 [INFO   ] runner.py:138 [sim_t=00000.011903s] Phase starting     step=0 phase=11 name=tp_heavy_tp_micro_5
03:39:16 [INFO   ] runner.py:149 [sim_t=00000.019013s] Phase finished     step=0 phase=11 name=tp_heavy_tp_micro_5
03:39:16 [INFO   ] runner.py:138 [sim_t=00000.019013s] Phase starting     step=0 phase=12 name=tp_heavy_gap_5
03:39:16 [INFO   ] runner.py:149 [sim_t=00000.019513s] Phase finished     step=0 phase=12 name=tp_heavy_gap_5
